"StichtagDatJahr","QuarCd","QuarLang","EigentumCd","EigentumLang","StatusCd","StatusLang","WhgNeu","WhgAbbruch"
2021,"021","Wollishofen","2","andere","4","Bau begonnen",30,0
2021,"021","Wollishofen","2","andere","5","fertiggestellt",184,0
2021,"023","Leimbach","2","andere","4","Bau begonnen",149,0
2021,"024","Enge","2","andere","5","fertiggestellt",18,0
2021,"031","Alt-Wiedikon","2","andere","4","Bau begonnen",7,0
2021,"033","Friesenberg","2","andere","4","Bau begonnen",36,0
2021,"034","Sihlfeld","2","andere","4","Bau begonnen",41,0
2021,"041","Werd","1","staedtisch/genossenschaftlich","4","Bau begonnen",24,0
2021,"041","Werd","2","andere","5","fertiggestellt",80,0
2021,"042","Langstrasse","2","andere","4","Bau begonnen",57,0
2021,"044","Hard","1","staedtisch/genossenschaftlich","5","fertiggestellt",46,0
2021,"044","Hard","2","andere","4","Bau begonnen",34,0
2021,"051","Gewerbeschule","1","staedtisch/genossenschaftlich","5","fertiggestellt",55,0
2021,"051","Gewerbeschule","2","andere","4","Bau begonnen",34,0
2021,"061","Unterstrass","1","staedtisch/genossenschaftlich","4","Bau begonnen",45,0
2021,"061","Unterstrass","1","staedtisch/genossenschaftlich","5","fertiggestellt",105,0
2021,"061","Unterstrass","2","andere","4","Bau begonnen",56,0
2021,"063","Oberstrass","2","andere","3","bewilligt",2,2
2021,"063","Oberstrass","2","andere","4","Bau begonnen",41,0
2021,"071","Fluntern","2","andere","4","Bau begonnen",41,0
2021,"071","Fluntern","2","andere","5","fertiggestellt",24,0
2021,"072","Hottingen","2","andere","3","bewilligt",14,0
2021,"072","Hottingen","2","andere","4","Bau begonnen",6,0
2021,"073","Hirslanden","2","andere","4","Bau begonnen",2,0
2021,"074","Witikon","2","andere","4","Bau begonnen",86,0
2021,"074","Witikon","2","andere","5","fertiggestellt",3,0
2021,"081","Seefeld","1","staedtisch/genossenschaftlich","5","fertiggestellt",121,0
2021,"081","Seefeld","2","andere","4","Bau begonnen",15,0
2021,"082","Mühlebach","2","andere","3","bewilligt",2,0
