district,year,owner,aca_dyw
Kreis 1,2021,cooperative housing,1.9323
Kreis 1,2021,private housing,1.3516
Kreis 1,2022,cooperative housing,1.9366
Kreis 1,2022,private housing,1.3518
Kreis 1,2023,cooperative housing,1.9409
Kreis 1,2023,private housing,1.3521
Kreis 1,2024,cooperative housing,1.9452
Kreis 1,2024,private housing,1.3523
Kreis 1,2025,cooperative housing,1.9495
Kreis 1,2025,private housing,1.3526
Kreis 1,2026,cooperative housing,1.9538
Kreis 1,2026,private housing,1.3528
Kreis 1,2027,cooperative housing,1.9581
Kreis 1,2027,private housing,1.3531
Kreis 1,2028,cooperative housing,1.9624
Kreis 1,2028,private housing,1.3533
Kreis 1,2029,cooperative housing,1.9667
Kreis 1,2029,private housing,1.3536
Kreis 1,2030,cooperative housing,1.971
Kreis 1,2030,private housing,1.3538
Kreis 1,2031,cooperative housing,1.9753
Kreis 1,2031,private housing,1.3541
Kreis 1,2032,cooperative housing,1.9796
Kreis 1,2032,private housing,1.3543
Kreis 1,2033,cooperative housing,1.9839
Kreis 1,2033,private housing,1.3546
Kreis 1,2034,cooperative housing,1.9882
Kreis 1,2034,private housing,1.3548
Kreis 1,2035,cooperative housing,1.9925
Kreis 1,2035,private housing,1.3551
Kreis 1,2036,cooperative housing,1.9968
Kreis 1,2036,private housing,1.3553
Kreis 1,2037,cooperative housing,2.0011
Kreis 1,2037,private housing,1.3556
Kreis 1,2038,cooperative housing,2.0054
Kreis 1,2038,private housing,1.3558
Kreis 1,2039,cooperative housing,2.0097
Kreis 1,2039,private housing,1.3561
Kreis 1,2040,cooperative housing,2.014
Kreis 1,2040,private housing,1.3563
Kreis 1,2041,cooperative housing,2.0182
Kreis 1,2041,private housing,1.3566
Kreis 1,2042,cooperative housing,2.0225
Kreis 1,2042,private housing,1.3568
Kreis 1,2043,cooperative housing,2.0268
Kreis 1,2043,private housing,1.3571
Kreis 1,2044,cooperative housing,2.0311
Kreis 1,2044,private housing,1.3573
Kreis 1,2045,cooperative housing,2.0354
Kreis 1,2045,private housing,1.3576
Kreis 1,2046,cooperative housing,2.0397
Kreis 1,2046,private housing,1.3578
Kreis 1,2047,cooperative housing,2.044
Kreis 1,2047,private housing,1.3581
Kreis 1,2048,cooperative housing,2.0483
Kreis 1,2048,private housing,1.3583
Kreis 1,2049,cooperative housing,2.0526
Kreis 1,2049,private housing,1.3586
Kreis 1,2050,cooperative housing,2.0569
Kreis 1,2050,private housing,1.3588
Wollishofen,2021,cooperative housing,2.2175
Wollishofen,2021,private housing,1.7491
Wollishofen,2022,cooperative housing,2.2231
Wollishofen,2022,private housing,1.7524
Wollishofen,2023,cooperative housing,2.2288
Wollishofen,2023,private housing,1.7556
Wollishofen,2024,cooperative housing,2.2345
Wollishofen,2024,private housing,1.7589
Wollishofen,2025,cooperative housing,2.2402
Wollishofen,2025,private housing,1.7621
Wollishofen,2026,cooperative housing,2.2458
Wollishofen,2026,private housing,1.7653
Wollishofen,2027,cooperative housing,2.2515
Wollishofen,2027,private housing,1.7686
Wollishofen,2028,cooperative housing,2.2572
Wollishofen,2028,private housing,1.7718
Wollishofen,2029,cooperative housing,2.2629
Wollishofen,2029,private housing,1.7751
Wollishofen,2030,cooperative housing,2.2685
Wollishofen,2030,private housing,1.7783
Wollishofen,2031,cooperative housing,2.2742
Wollishofen,2031,private housing,1.7815
Wollishofen,2032,cooperative housing,2.2799
Wollishofen,2032,private housing,1.7848
Wollishofen,2033,cooperative housing,2.2856
Wollishofen,2033,private housing,1.788
Wollishofen,2034,cooperative housing,2.2913
Wollishofen,2034,private housing,1.7913
Wollishofen,2035,cooperative housing,2.2969
Wollishofen,2035,private housing,1.7945
Wollishofen,2036,cooperative housing,2.3026
Wollishofen,2036,private housing,1.7977
Wollishofen,2037,cooperative housing,2.3083
Wollishofen,2037,private housing,1.801
Wollishofen,2038,cooperative housing,2.314
Wollishofen,2038,private housing,1.8042
Wollishofen,2039,cooperative housing,2.3196
Wollishofen,2039,private housing,1.8075
Wollishofen,2040,cooperative housing,2.3253
Wollishofen,2040,private housing,1.8107
Wollishofen,2041,cooperative housing,2.331
Wollishofen,2041,private housing,1.814
Wollishofen,2042,cooperative housing,2.3367
Wollishofen,2042,private housing,1.8172
Wollishofen,2043,cooperative housing,2.3424
Wollishofen,2043,private housing,1.8204
Wollishofen,2044,cooperative housing,2.348
Wollishofen,2044,private housing,1.8237
Wollishofen,2045,cooperative housing,2.3537
Wollishofen,2045,private housing,1.8269
Wollishofen,2046,cooperative housing,2.3594
Wollishofen,2046,private housing,1.8302
Wollishofen,2047,cooperative housing,2.3651
Wollishofen,2047,private housing,1.8334
Wollishofen,2048,cooperative housing,2.3707
Wollishofen,2048,private housing,1.8366
Wollishofen,2049,cooperative housing,2.3764
Wollishofen,2049,private housing,1.8399
Wollishofen,2050,cooperative housing,2.3821
Wollishofen,2050,private housing,1.8431
Leimbach,2021,cooperative housing,2.4767
Leimbach,2021,private housing,2.0257
Leimbach,2022,cooperative housing,2.4792
Leimbach,2022,private housing,2.0271
Leimbach,2023,cooperative housing,2.4817
Leimbach,2023,private housing,2.0284
Leimbach,2024,cooperative housing,2.4842
Leimbach,2024,private housing,2.0298
Leimbach,2025,cooperative housing,2.4868
Leimbach,2025,private housing,2.0311
Leimbach,2026,cooperative housing,2.4893
Leimbach,2026,private housing,2.0324
Leimbach,2027,cooperative housing,2.4918
Leimbach,2027,private housing,2.0338
Leimbach,2028,cooperative housing,2.4943
Leimbach,2028,private housing,2.0351
Leimbach,2029,cooperative housing,2.4968
Leimbach,2029,private housing,2.0365
Leimbach,2030,cooperative housing,2.4993
Leimbach,2030,private housing,2.0378
Leimbach,2031,cooperative housing,2.5019
Leimbach,2031,private housing,2.0392
Leimbach,2032,cooperative housing,2.5044
Leimbach,2032,private housing,2.0405
Leimbach,2033,cooperative housing,2.5069
