district,year,age,origin,fer
Kreis 1,2021,15,Swiss,0
Kreis 1,2021,15,foreign,0
Kreis 1,2021,16,Swiss,0.1052
Kreis 1,2021,16,foreign,0.0412
Kreis 1,2021,17,Swiss,0.2098
Kreis 1,2021,17,foreign,0.1758
Kreis 1,2021,18,Swiss,0.2973
Kreis 1,2021,18,foreign,0.3873
Kreis 1,2021,19,Swiss,0.3652
Kreis 1,2021,19,foreign,0.687
Kreis 1,2021,20,Swiss,0.4181
Kreis 1,2021,20,foreign,1.0537
Kreis 1,2021,21,Swiss,0.4654
Kreis 1,2021,21,foreign,1.443
Kreis 1,2021,22,Swiss,0.5174
Kreis 1,2021,22,foreign,1.8079
Kreis 1,2021,23,Swiss,0.5847
Kreis 1,2021,23,foreign,2.1197
Kreis 1,2021,24,Swiss,0.6785
Kreis 1,2021,24,foreign,2.3805
Kreis 1,2021,25,Swiss,0.8152
Kreis 1,2021,25,foreign,2.6209
Kreis 1,2021,26,Swiss,1.0211
Kreis 1,2021,26,foreign,2.8851
Kreis 1,2021,27,Swiss,1.3339
Kreis 1,2021,27,foreign,3.2109
Kreis 1,2021,28,Swiss,1.7977
Kreis 1,2021,28,foreign,3.6122
Kreis 1,2021,29,Swiss,2.4506
Kreis 1,2021,29,foreign,4.0736
Kreis 1,2021,30,Swiss,3.3067
Kreis 1,2021,30,foreign,4.5562
Kreis 1,2021,31,Swiss,4.3378
Kreis 1,2021,31,foreign,5.0133
Kreis 1,2021,32,Swiss,5.4627
Kreis 1,2021,32,foreign,5.4068
Kreis 1,2021,33,Swiss,6.5508
Kreis 1,2021,33,foreign,5.7181
Kreis 1,2021,34,Swiss,7.4426
Kreis 1,2021,34,foreign,5.947
Kreis 1,2021,35,Swiss,7.9837
Kreis 1,2021,35,foreign,6.1023
Kreis 1,2021,36,Swiss,8.0641
Kreis 1,2021,36,foreign,6.1875
Kreis 1,2021,37,Swiss,7.6505
Kreis 1,2021,37,foreign,6.1899
Kreis 1,2021,38,Swiss,6.8
Kreis 1,2021,38,foreign,6.0795
Kreis 1,2021,39,Swiss,5.6489
Kreis 1,2021,39,foreign,5.8186
Kreis 1,2021,40,Swiss,4.3795
Kreis 1,2021,40,foreign,5.3783
Kreis 1,2021,41,Swiss,3.1739
Kreis 1,2021,41,foreign,4.756
Kreis 1,2021,42,Swiss,2.1696
Kreis 1,2021,42,foreign,3.9861
Kreis 1,2021,43,Swiss,1.4316
Kreis 1,2021,43,foreign,3.1374
Kreis 1,2021,44,Swiss,0.9489
Kreis 1,2021,44,foreign,2.2978
Kreis 1,2021,45,Swiss,0.6549
Kreis 1,2021,45,foreign,1.5505
