district,year,age,origin,fer
Kreis 1,1994,15,Swiss,0
Kreis 1,1994,15,foreign,0
Kreis 1,1994,16,Swiss,0
Kreis 1,1994,16,foreign,NA
Kreis 1,1994,17,Swiss,0
Kreis 1,1994,17,foreign,NA
Kreis 1,1994,18,Swiss,0
Kreis 1,1994,18,foreign,0
Kreis 1,1994,19,Swiss,0
Kreis 1,1994,19,foreign,14.2857
Kreis 1,1994,20,Swiss,0
Kreis 1,1994,20,foreign,0
Kreis 1,1994,21,Swiss,0
Kreis 1,1994,21,foreign,0
Kreis 1,1994,22,Swiss,0
Kreis 1,1994,22,foreign,0
Kreis 1,1994,23,Swiss,0
Kreis 1,1994,23,foreign,0
Kreis 1,1994,24,Swiss,0
Kreis 1,1994,24,foreign,0
Kreis 1,1994,25,Swiss,0
Kreis 1,1994,25,foreign,0
Kreis 1,1994,26,Swiss,0
Kreis 1,1994,26,foreign,0
Kreis 1,1994,27,Swiss,0
Kreis 1,1994,27,foreign,0
Kreis 1,1994,28,Swiss,4.0816
Kreis 1,1994,28,foreign,0
Kreis 1,1994,29,Swiss,6.383
Kreis 1,1994,29,foreign,11.7647
Kreis 1,1994,30,Swiss,5
Kreis 1,1994,30,foreign,7.6923
Kreis 1,1994,31,Swiss,5.4054
Kreis 1,1994,31,foreign,11.1111
Kreis 1,1994,32,Swiss,9.375
Kreis 1,1994,32,foreign,9.0909
Kreis 1,1994,33,Swiss,3.8462
Kreis 1,1994,33,foreign,0
Kreis 1,1994,34,Swiss,5
Kreis 1,1994,34,foreign,0
Kreis 1,1994,35,Swiss,0
Kreis 1,1994,35,foreign,0
Kreis 1,1994,36,Swiss,6.8182
Kreis 1,1994,36,foreign,0
Kreis 1,1994,37,Swiss,0
Kreis 1,1994,37,foreign,0
Kreis 1,1994,38,Swiss,6.4516
Kreis 1,1994,38,foreign,20
Kreis 1,1994,39,Swiss,0
Kreis 1,1994,39,foreign,25
Kreis 1,1994,40,Swiss,0
Kreis 1,1994,40,foreign,0
Kreis 1,1994,41,Swiss,0
Kreis 1,1994,41,foreign,0
Kreis 1,1994,42,Swiss,0
Kreis 1,1994,42,foreign,0
Kreis 1,1994,43,Swiss,0
Kreis 1,1994,43,foreign,0
Kreis 1,1994,44,Swiss,0
Kreis 1,1994,44,foreign,0
Kreis 1,1994,45,Swiss,0
Kreis 1,1994,45,foreign,0
Kreis 1,1994,46,Swiss,0
Kreis 1,1994,46,foreign,0
Kreis 1,1994,47,Swiss,0
Kreis 1,1994,47,foreign,0
Kreis 1,1994,48,Swiss,0
Kreis 1,1994,48,foreign,0
Kreis 1,1994,49,Swiss,0
Kreis 1,1994,49,foreign,0
Kreis 1,1995,15,Swiss,0
Kreis 1,1995,15,foreign,0
Kreis 1,1995,16,Swiss,0
Kreis 1,1995,16,foreign,0
Kreis 1,1995,17,Swiss,0
Kreis 1,1995,17,foreign,NA
Kreis 1,1995,18,Swiss,0
Kreis 1,1995,18,foreign,0
Kreis 1,1995,19,Swiss,0
Kreis 1,1995,19,foreign,8.3333
Kreis 1,1995,20,Swiss,0
Kreis 1,1995,20,foreign,0
Kreis 1,1995,21,Swiss,3.125
Kreis 1,1995,21,foreign,0
Kreis 1,1995,22,Swiss,0
Kreis 1,1995,22,foreign,0
Kreis 1,1995,23,Swiss,0
Kreis 1,1995,23,foreign,6.6667
Kreis 1,1995,24,Swiss,0
Kreis 1,1995,24,foreign,4.5455
Kreis 1,1995,25,Swiss,0
Kreis 1,1995,25,foreign,0
Kreis 1,1995,26,Swiss,3.9216
Kreis 1,1995,26,foreign,0
Kreis 1,1995,27,Swiss,2.381
Kreis 1,1995,27,foreign,15.3846
Kreis 1,1995,28,Swiss,2.439
Kreis 1,1995,28,foreign,0
Kreis 1,1995,29,Swiss,10
Kreis 1,1995,29,foreign,13.3333
Kreis 1,1995,30,Swiss,2.2727
Kreis 1,1995,30,foreign,0
Kreis 1,1995,31,Swiss,2.381
Kreis 1,1995,31,foreign,12.5
Kreis 1,1995,32,Swiss,5.5556
Kreis 1,1995,32,foreign,0
Kreis 1,1995,33,Swiss,0
Kreis 1,1995,33,foreign,11.1111
Kreis 1,1995,34,Swiss,10
Kreis 1,1995,34,foreign,14.2857
Kreis 1,1995,35,Swiss,7.1429
Kreis 1,1995,35,foreign,0
Kreis 1,1995,36,Swiss,5.7143
Kreis 1,1995,36,foreign,0
Kreis 1,1995,37,Swiss,5.2632
Kreis 1,1995,37,foreign,0
Kreis 1,1995,38,Swiss,6.0606
Kreis 1,1995,38,foreign,0
Kreis 1,1995,39,Swiss,3.3333
Kreis 1,1995,39,foreign,0
Kreis 1,1995,40,Swiss,9.0909
Kreis 1,1995,40,foreign,0
Kreis 1,1995,41,Swiss,5.5556
Kreis 1,1995,41,foreign,0
Kreis 1,1995,42,Swiss,3.125
Kreis 1,1995,42,foreign,0
Kreis 1,1995,43,Swiss,0
Kreis 1,1995,43,foreign,0
Kreis 1,1995,44,Swiss,0
Kreis 1,1995,44,foreign,0
Kreis 1,1995,45,Swiss,0
Kreis 1,1995,45,foreign,0
Kreis 1,1995,46,Swiss,0
Kreis 1,1995,46,foreign,0
Kreis 1,1995,47,Swiss,0
Kreis 1,1995,47,foreign,0
Kreis 1,1995,48,Swiss,0
Kreis 1,1995,48,foreign,0
Kreis 1,1995,49,Swiss,0
Kreis 1,1995,49,foreign,0
Kreis 1,1996,15,Swiss,0
Kreis 1,1996,15,foreign,0
Kreis 1,1996,16,Swiss,0
Kreis 1,1996,16,foreign,0
Kreis 1,1996,17,Swiss,0
Kreis 1,1996,17,foreign,0
Kreis 1,1996,18,Swiss,0
Kreis 1,1996,18,foreign,0
Kreis 1,1996,19,Swiss,0
Kreis 1,1996,19,foreign,0
Kreis 1,1996,20,Swiss,4.3478
Kreis 1,1996,20,foreign,10
Kreis 1,1996,21,Swiss,2.7778
Kreis 1,1996,21,foreign,0
Kreis 1,1996,22,Swiss,2.439
Kreis 1,1996,22,foreign,0
Kreis 1,1996,23,Swiss,2.5
Kreis 1,1996,23,foreign,5.8824
Kreis 1,1996,24,Swiss,0
Kreis 1,1996,24,foreign,0
Kreis 1,1996,25,Swiss,5.4054
Kreis 1,1996,25,foreign,0
Kreis 1,1996,26,Swiss,0
Kreis 1,1996,26,foreign,0
Kreis 1,1996,27,Swiss,1.8519
Kreis 1,1996,27,foreign,20
Kreis 1,1996,28,Swiss,3.7736
Kreis 1,1996,28,foreign,7.1429
Kreis 1,1996,29,Swiss,9.5238
Kreis 1,1996,29,foreign,0
Kreis 1,1996,30,Swiss,6.6667
Kreis 1,1996,30,foreign,9.0909
Kreis 1,1996,31,Swiss,0
Kreis 1,1996,31,foreign,0
Kreis 1,1996,32,Swiss,7.6923
Kreis 1,1996,32,foreign,45.4545
Kreis 1,1996,33,Swiss,13.1579
Kreis 1,1996,33,foreign,20
Kreis 1,1996,34,Swiss,9.0909
Kreis 1,1996,34,foreign,0
Kreis 1,1996,35,Swiss,3.7037
Kreis 1,1996,35,foreign,0
Kreis 1,1996,36,Swiss,7.3171
Kreis 1,1996,36,foreign,14.2857
Kreis 1,1996,37,Swiss,5.8824
Kreis 1,1996,37,foreign,0
Kreis 1,1996,38,Swiss,2.7027
Kreis 1,1996,38,foreign,0
Kreis 1,1996,39,Swiss,2.8571
Kreis 1,1996,39,foreign,7.6923
Kreis 1,1996,40,Swiss,0
Kreis 1,1996,40,foreign,0
Kreis 1,1996,41,Swiss,0
Kreis 1,1996,41,foreign,0
Kreis 1,1996,42,Swiss,0
Kreis 1,1996,42,foreign,0
Kreis 1,1996,43,Swiss,6.25
Kreis 1,1996,43,foreign,0
Kreis 1,1996,44,Swiss,0
Kreis 1,1996,44,foreign,0
Kreis 1,1996,45,Swiss,0
Kreis 1,1996,45,foreign,0
Kreis 1,1996,46,Swiss,0
Kreis 1,1996,46,foreign,0
Kreis 1,1996,47,Swiss,0
Kreis 1,1996,47,foreign,0
Kreis 1,1996,48,Swiss,0
Kreis 1,1996,48,foreign,0
Kreis 1,1996,49,Swiss,0
Kreis 1,1996,49,foreign,0
Kreis 1,1997,15,Swiss,0
Kreis 1,1997,15,foreign,0
Kreis 1,1997,16,Swiss,0
Kreis 1,1997,16,foreign,25
Kreis 1,1997,17,Swiss,0
Kreis 1,1997,17,foreign,0
Kreis 1,1997,18,Swiss,0
Kreis 1,1997,18,foreign,0
Kreis 1,1997,19,Swiss,0
Kreis 1,1997,19,foreign,33.3333
Kreis 1,1997,20,Swiss,0
Kreis 1,1997,20,foreign,0
Kreis 1,1997,21,Swiss,0
Kreis 1,1997,21,foreign,0
Kreis 1,1997,22,Swiss,0
Kreis 1,1997,22,foreign,9.0909
Kreis 1,1997,23,Swiss,0
Kreis 1,1997,23,foreign,0
Kreis 1,1997,24,Swiss,4.7619
Kreis 1,1997,24,foreign,0
Kreis 1,1997,25,Swiss,0
Kreis 1,1997,25,foreign,0
Kreis 1,1997,26,Swiss,0
Kreis 1,1997,26,foreign,0
Kreis 1,1997,27,Swiss,0
Kreis 1,1997,27,foreign,0
Kreis 1,1997,28,Swiss,2.1277
Kreis 1,1997,28,foreign,0
Kreis 1,1997,29,Swiss,0
Kreis 1,1997,29,foreign,0
Kreis 1,1997,30,Swiss,0
Kreis 1,1997,30,foreign,5.5556
Kreis 1,1997,31,Swiss,2.0408
Kreis 1,1997,31,foreign,20
Kreis 1,1997,32,Swiss,2.2727
Kreis 1,1997,32,foreign,0
Kreis 1,1997,33,Swiss,6.4516
Kreis 1,1997,33,foreign,0
Kreis 1,1997,34,Swiss,5.4054
Kreis 1,1997,34,foreign,0
Kreis 1,1997,35,Swiss,8.1081
Kreis 1,1997,35,foreign,0
Kreis 1,1997,36,Swiss,6.4516
Kreis 1,1997,36,foreign,7.6923
Kreis 1,1997,37,Swiss,0
Kreis 1,1997,37,foreign,0
Kreis 1,1997,38,Swiss,2.8571
Kreis 1,1997,38,foreign,0
Kreis 1,1997,39,Swiss,5.4054
Kreis 1,1997,39,foreign,0
Kreis 1,1997,40,Swiss,9.6774
Kreis 1,1997,40,foreign,0
Kreis 1,1997,41,Swiss,0
Kreis 1,1997,41,foreign,0
Kreis 1,1997,42,Swiss,0
Kreis 1,1997,42,foreign,12.5
Kreis 1,1997,43,Swiss,0
Kreis 1,1997,43,foreign,0
Kreis 1,1997,44,Swiss,0
Kreis 1,1997,44,foreign,0
Kreis 1,1997,45,Swiss,0
Kreis 1,1997,45,foreign,0
Kreis 1,1997,46,Swiss,0
Kreis 1,1997,46,foreign,0
Kreis 1,1997,47,Swiss,0
Kreis 1,1997,47,foreign,0
Kreis 1,1997,48,Swiss,0
Kreis 1,1997,48,foreign,0
Kreis 1,1997,49,Swiss,0
Kreis 1,1997,49,foreign,0
Kreis 1,1998,15,Swiss,0
Kreis 1,1998,15,foreign,0
Kreis 1,1998,16,Swiss,0
Kreis 1,1998,16,foreign,0
Kreis 1,1998,17,Swiss,0
Kreis 1,1998,17,foreign,0
Kreis 1,1998,18,Swiss,0
Kreis 1,1998,18,foreign,0
Kreis 1,1998,19,Swiss,0
Kreis 1,1998,19,foreign,0
Kreis 1,1998,20,Swiss,0
Kreis 1,1998,20,foreign,0
Kreis 1,1998,21,Swiss,3.125
Kreis 1,1998,21,foreign,0
Kreis 1,1998,22,Swiss,2.6316
Kreis 1,1998,22,foreign,0
Kreis 1,1998,23,Swiss,2.6316
Kreis 1,1998,23,foreign,25
Kreis 1,1998,24,Swiss,0
Kreis 1,1998,24,foreign,9.0909
Kreis 1,1998,25,Swiss,0
Kreis 1,1998,25,foreign,11.1111
Kreis 1,1998,26,Swiss,0
Kreis 1,1998,26,foreign,0
Kreis 1,1998,27,Swiss,0
Kreis 1,1998,27,foreign,0
Kreis 1,1998,28,Swiss,4.878
Kreis 1,1998,28,foreign,0
Kreis 1,1998,29,Swiss,4.5455
Kreis 1,1998,29,foreign,5.2632
Kreis 1,1998,30,Swiss,0
Kreis 1,1998,30,foreign,0
Kreis 1,1998,31,Swiss,3.8462
Kreis 1,1998,31,foreign,6.6667
Kreis 1,1998,32,Swiss,2.0408
Kreis 1,1998,32,foreign,0
Kreis 1,1998,33,Swiss,4.5455
Kreis 1,1998,33,foreign,0
Kreis 1,1998,34,Swiss,0
Kreis 1,1998,34,foreign,0
Kreis 1,1998,35,Swiss,12.8205
Kreis 1,1998,35,foreign,0
Kreis 1,1998,36,Swiss,5.7143
Kreis 1,1998,36,foreign,0
Kreis 1,1998,37,Swiss,4
Kreis 1,1998,37,foreign,9.0909
Kreis 1,1998,38,Swiss,9.7561
Kreis 1,1998,38,foreign,33.3333
Kreis 1,1998,39,Swiss,0
Kreis 1,1998,39,foreign,0
Kreis 1,1998,40,Swiss,0
Kreis 1,1998,40,foreign,0
Kreis 1,1998,41,Swiss,0
Kreis 1,1998,41,foreign,0
Kreis 1,1998,42,Swiss,0
Kreis 1,1998,42,foreign,0
Kreis 1,1998,43,Swiss,0
Kreis 1,1998,43,foreign,0
Kreis 1,1998,44,Swiss,0
Kreis 1,1998,44,foreign,0
Kreis 1,1998,45,Swiss,0
Kreis 1,1998,45,foreign,0
Kreis 1,1998,46,Swiss,0
Kreis 1,1998,46,foreign,0
Kreis 1,1998,47,Swiss,0
Kreis 1,1998,47,foreign,0
Kreis 1,1998,48,Swiss,0
Kreis 1,1998,48,foreign,0
Kreis 1,1998,49,Swiss,0
Kreis 1,1998,49,foreign,0
Kreis 1,1999,15,Swiss,0
Kreis 1,1999,15,foreign,0
Kreis 1,1999,16,Swiss,0
Kreis 1,1999,16,foreign,0
Kreis 1,1999,17,Swiss,0
Kreis 1,1999,17,foreign,0
Kreis 1,1999,18,Swiss,0
Kreis 1,1999,18,foreign,0
Kreis 1,1999,19,Swiss,0
Kreis 1,1999,19,foreign,0
Kreis 1,1999,20,Swiss,0
Kreis 1,1999,20,foreign,0
Kreis 1,1999,21,Swiss,0
Kreis 1,1999,21,foreign,0
Kreis 1,1999,22,Swiss,0
Kreis 1,1999,22,foreign,10
Kreis 1,1999,23,Swiss,0
Kreis 1,1999,23,foreign,0
Kreis 1,1999,24,Swiss,0
Kreis 1,1999,24,foreign,12.5
Kreis 1,1999,25,Swiss,4.1667
Kreis 1,1999,25,foreign,6.6667
Kreis 1,1999,26,Swiss,2.3256
Kreis 1,1999,26,foreign,0
Kreis 1,1999,27,Swiss,2.1739
Kreis 1,1999,27,foreign,5.5556
Kreis 1,1999,28,Swiss,2.2727
Kreis 1,1999,28,foreign,0
Kreis 1,1999,29,Swiss,5.1282
Kreis 1,1999,29,foreign,0
Kreis 1,1999,30,Swiss,11.6279
Kreis 1,1999,30,foreign,0
Kreis 1,1999,31,Swiss,11.1111
Kreis 1,1999,31,foreign,0
Kreis 1,1999,32,Swiss,2.3256
Kreis 1,1999,32,foreign,15.3846
Kreis 1,1999,33,Swiss,5.5556
Kreis 1,1999,33,foreign,0
Kreis 1,1999,34,Swiss,7.6923
Kreis 1,1999,34,foreign,11.1111
Kreis 1,1999,35,Swiss,7.1429
Kreis 1,1999,35,foreign,28.5714
Kreis 1,1999,36,Swiss,7.8947
Kreis 1,1999,36,foreign,14.2857
Kreis 1,1999,37,Swiss,6.25
Kreis 1,1999,37,foreign,0
Kreis 1,1999,38,Swiss,0
Kreis 1,1999,38,foreign,8.3333
Kreis 1,1999,39,Swiss,2.3256
Kreis 1,1999,39,foreign,0
Kreis 1,1999,40,Swiss,3.2258
Kreis 1,1999,40,foreign,0
Kreis 1,1999,41,Swiss,0
Kreis 1,1999,41,foreign,0
Kreis 1,1999,42,Swiss,3.2258
Kreis 1,1999,42,foreign,0
Kreis 1,1999,43,Swiss,0
Kreis 1,1999,43,foreign,0
Kreis 1,1999,44,Swiss,0
Kreis 1,1999,44,foreign,0
Kreis 1,1999,45,Swiss,0
Kreis 1,1999,45,foreign,0
Kreis 1,1999,46,Swiss,0
Kreis 1,1999,46,foreign,0
Kreis 1,1999,47,Swiss,0
