district,year,origin,cha
Kreis 1,2021,Swiss,0
Kreis 1,2021,foreign,36.9635
Kreis 1,2022,Swiss,0
Kreis 1,2022,foreign,36.8803
Kreis 1,2023,Swiss,0
Kreis 1,2023,foreign,36.7971
Kreis 1,2024,Swiss,0
Kreis 1,2024,foreign,36.7138
Kreis 1,2025,Swiss,0
Kreis 1,2025,foreign,36.6306
Kreis 1,2026,Swiss,0
Kreis 1,2026,foreign,36.5474
Kreis 1,2027,Swiss,0
Kreis 1,2027,foreign,36.4641
Kreis 1,2028,Swiss,0
Kreis 1,2028,foreign,36.3809
Kreis 1,2029,Swiss,0
Kreis 1,2029,foreign,36.2977
Kreis 1,2030,Swiss,0
Kreis 1,2030,foreign,36.2144
Kreis 1,2031,Swiss,0
Kreis 1,2031,foreign,36.1312
Kreis 1,2032,Swiss,0
Kreis 1,2032,foreign,36.048
Kreis 1,2033,Swiss,0
Kreis 1,2033,foreign,35.9647
Kreis 1,2034,Swiss,0
Kreis 1,2034,foreign,35.8815
Kreis 1,2035,Swiss,0
Kreis 1,2035,foreign,35.7982
Kreis 1,2036,Swiss,0
Kreis 1,2036,foreign,35.715
Kreis 1,2037,Swiss,0
Kreis 1,2037,foreign,35.6318
Kreis 1,2038,Swiss,0
Kreis 1,2038,foreign,35.5485
Kreis 1,2039,Swiss,0
Kreis 1,2039,foreign,35.4653
Kreis 1,2040,Swiss,0
Kreis 1,2040,foreign,35.3821
Kreis 1,2041,Swiss,0
Kreis 1,2041,foreign,35.2988
Kreis 1,2042,Swiss,0
Kreis 1,2042,foreign,35.2156
Kreis 1,2043,Swiss,0
Kreis 1,2043,foreign,35.1324
Kreis 1,2044,Swiss,0
Kreis 1,2044,foreign,35.0491
Kreis 1,2045,Swiss,0
Kreis 1,2045,foreign,34.9659
Kreis 1,2046,Swiss,0
Kreis 1,2046,foreign,34.8826
Kreis 1,2047,Swiss,0
Kreis 1,2047,foreign,34.7994
Kreis 1,2048,Swiss,0
Kreis 1,2048,foreign,34.7162
Kreis 1,2049,Swiss,0
Kreis 1,2049,foreign,34.6329
Kreis 1,2050,Swiss,0
Kreis 1,2050,foreign,34.5497
Wollishofen,2021,Swiss,0.072
Wollishofen,2021,foreign,30.7202
Wollishofen,2022,Swiss,0.0714
Wollishofen,2022,foreign,30.5901
Wollishofen,2023,Swiss,0.0714
Wollishofen,2023,foreign,30.46
Wollishofen,2024,Swiss,0.0714
Wollishofen,2024,foreign,30.3299
Wollishofen,2025,Swiss,0.0714
Wollishofen,2025,foreign,30.1998
Wollishofen,2026,Swiss,0.0714
Wollishofen,2026,foreign,30.0697
Wollishofen,2027,Swiss,0.0714
Wollishofen,2027,foreign,29.9396
Wollishofen,2028,Swiss,0.0714
Wollishofen,2028,foreign,29.8095
Wollishofen,2029,Swiss,0.0714
Wollishofen,2029,foreign,29.6794
Wollishofen,2030,Swiss,0.0714
Wollishofen,2030,foreign,29.5493
Wollishofen,2031,Swiss,0.0714
Wollishofen,2031,foreign,29.4192
Wollishofen,2032,Swiss,0.0714
Wollishofen,2032,foreign,29.2892
Wollishofen,2033,Swiss,0.0714
Wollishofen,2033,foreign,29.1591
Wollishofen,2034,Swiss,0.0714
Wollishofen,2034,foreign,29.029
Wollishofen,2035,Swiss,0.0714
Wollishofen,2035,foreign,28.8989
Wollishofen,2036,Swiss,0.0714
Wollishofen,2036,foreign,28.7688
Wollishofen,2037,Swiss,0.0714
Wollishofen,2037,foreign,28.6387
Wollishofen,2038,Swiss,0.0714
Wollishofen,2038,foreign,28.5086
Wollishofen,2039,Swiss,0.0714
Wollishofen,2039,foreign,28.3785
Wollishofen,2040,Swiss,0.0714
Wollishofen,2040,foreign,28.2484
Wollishofen,2041,Swiss,0.0714
Wollishofen,2041,foreign,28.1183
Wollishofen,2042,Swiss,0.0714
Wollishofen,2042,foreign,27.9882
Wollishofen,2043,Swiss,0.0714
Wollishofen,2043,foreign,27.8582
Wollishofen,2044,Swiss,0.0714
Wollishofen,2044,foreign,27.7281
Wollishofen,2045,Swiss,0.0714
Wollishofen,2045,foreign,27.598
Wollishofen,2046,Swiss,0.0714
Wollishofen,2046,foreign,27.4679
Wollishofen,2047,Swiss,0.0714
Wollishofen,2047,foreign,27.3378
Wollishofen,2048,Swiss,0.0714
Wollishofen,2048,foreign,27.2077
Wollishofen,2049,Swiss,0.0714
Wollishofen,2049,foreign,27.0776
Wollishofen,2050,Swiss,0.0714
Wollishofen,2050,foreign,26.9475
Leimbach,2021,Swiss,0
Leimbach,2021,foreign,26.7934
Leimbach,2022,Swiss,0
Leimbach,2022,foreign,26.6179
Leimbach,2023,Swiss,0
Leimbach,2023,foreign,26.4424
Leimbach,2024,Swiss,0
Leimbach,2024,foreign,26.2669
Leimbach,2025,Swiss,0
Leimbach,2025,foreign,26.0914
Leimbach,2026,Swiss,0
Leimbach,2026,foreign,25.9159
Leimbach,2027,Swiss,0
Leimbach,2027,foreign,25.7404
Leimbach,2028,Swiss,0
Leimbach,2028,foreign,25.565
Leimbach,2029,Swiss,0
Leimbach,2029,foreign,25.3895
Leimbach,2030,Swiss,0
Leimbach,2030,foreign,25.214
Leimbach,2031,Swiss,0
Leimbach,2031,foreign,25.0385
Leimbach,2032,Swiss,0
Leimbach,2032,foreign,24.863
Leimbach,2033,Swiss,0
Leimbach,2033,foreign,24.6875
Leimbach,2034,Swiss,0
Leimbach,2034,foreign,24.5121
Leimbach,2035,Swiss,0
Leimbach,2035,foreign,24.3366
Leimbach,2036,Swiss,0
Leimbach,2036,foreign,24.1611
Leimbach,2037,Swiss,0
Leimbach,2037,foreign,23.9856
Leimbach,2038,Swiss,0
Leimbach,2038,foreign,23.8101
Leimbach,2039,Swiss,0
Leimbach,2039,foreign,23.6346
Leimbach,2040,Swiss,0
Leimbach,2040,foreign,23.4654
Leimbach,2041,Swiss,0
Leimbach,2041,foreign,23.3097
Leimbach,2042,Swiss,0
Leimbach,2042,foreign,23.1675
Leimbach,2043,Swiss,0
Leimbach,2043,foreign,23.0387
Leimbach,2044,Swiss,0
Leimbach,2044,foreign,22.9235
Leimbach,2045,Swiss,0
Leimbach,2045,foreign,22.8218
Leimbach,2046,Swiss,0
Leimbach,2046,foreign,22.7335
