district,year,sex,origin,prop
Kreis 1,2021,male,Swiss,22.3864
Kreis 1,2021,male,foreign,29.773
Kreis 1,2021,female,Swiss,20.3701
Kreis 1,2021,female,foreign,27.4705
Kreis 1,2022,male,Swiss,22.4934
Kreis 1,2022,male,foreign,29.9189
Kreis 1,2022,female,Swiss,20.5469
Kreis 1,2022,female,foreign,27.0408
Kreis 1,2023,male,Swiss,22.6002
Kreis 1,2023,male,foreign,30.0647
Kreis 1,2023,female,Swiss,20.7235
Kreis 1,2023,female,foreign,26.6115
Kreis 1,2024,male,Swiss,22.6996
Kreis 1,2024,male,foreign,30.2006
Kreis 1,2024,female,Swiss,20.8933
Kreis 1,2024,female,foreign,26.2065
Kreis 1,2025,male,Swiss,22.7914
Kreis 1,2025,male,foreign,30.3263
Kreis 1,2025,female,Swiss,21.056
Kreis 1,2025,female,foreign,25.8263
Kreis 1,2026,male,Swiss,22.8755
Kreis 1,2026,male,foreign,30.4418
Kreis 1,2026,female,Swiss,21.2115
Kreis 1,2026,female,foreign,25.4713
Kreis 1,2027,male,Swiss,22.9518
Kreis 1,2027,male,foreign,30.547
Kreis 1,2027,female,Swiss,21.3596
Kreis 1,2027,female,foreign,25.1415
Kreis 1,2028,male,Swiss,23.0204
Kreis 1,2028,male,foreign,30.6419
Kreis 1,2028,female,Swiss,21.5003
Kreis 1,2028,female,foreign,24.8374
Kreis 1,2029,male,Swiss,23.0812
Kreis 1,2029,male,foreign,30.7263
Kreis 1,2029,female,Swiss,21.6334
Kreis 1,2029,female,foreign,24.5591
Kreis 1,2030,male,Swiss,23.1342
Kreis 1,2030,male,foreign,30.8004
Kreis 1,2030,female,Swiss,21.7588
Kreis 1,2030,female,foreign,24.3066
Kreis 1,2031,male,Swiss,23.1798
Kreis 1,2031,male,foreign,30.8646
Kreis 1,2031,female,Swiss,21.875
Kreis 1,2031,female,foreign,24.0806
Kreis 1,2032,male,Swiss,23.2208
Kreis 1,2032,male,foreign,30.9226
Kreis 1,2032,female,Swiss,21.9729
Kreis 1,2032,female,foreign,23.8838
Kreis 1,2033,male,Swiss,23.257
Kreis 1,2033,male,foreign,30.9743
Kreis 1,2033,female,Swiss,22.0527
Kreis 1,2033,female,foreign,23.716
Kreis 1,2034,male,Swiss,23.2886
Kreis 1,2034,male,foreign,31.0198
Kreis 1,2034,female,Swiss,22.1144
Kreis 1,2034,female,foreign,23.5771
Kreis 1,2035,male,Swiss,23.3156
Kreis 1,2035,male,foreign,31.0592
Kreis 1,2035,female,Swiss,22.1583
Kreis 1,2035,female,foreign,23.4669
Kreis 1,2036,male,Swiss,23.3381
Kreis 1,2036,male,foreign,31.0925
Kreis 1,2036,female,Swiss,22.1846
Kreis 1,2036,female,foreign,23.3848
Kreis 1,2037,male,Swiss,23.3635
Kreis 1,2037,male,foreign,31.1297
Kreis 1,2037,female,Swiss,22.2005
Kreis 1,2037,female,foreign,23.3063
Kreis 1,2038,male,Swiss,23.3919
Kreis 1,2038,male,foreign,31.1707
Kreis 1,2038,female,Swiss,22.206
Kreis 1,2038,female,foreign,23.2315
Kreis 1,2039,male,Swiss,23.4231
Kreis 1,2039,male,foreign,31.2156
Kreis 1,2039,female,Swiss,22.2013
Kreis 1,2039,female,foreign,23.1601
Kreis 1,2040,male,Swiss,23.4571
Kreis 1,2040,male,foreign,31.2642
Kreis 1,2040,female,Swiss,22.1864
Kreis 1,2040,female,foreign,23.0922
Kreis 1,2041,male,Swiss,23.4941
Kreis 1,2041,male,foreign,31.3167
Kreis 1,2041,female,Swiss,22.1615
Kreis 1,2041,female,foreign,23.0277
Kreis 1,2042,male,Swiss,23.5339
Kreis 1,2042,male,foreign,31.373
Kreis 1,2042,female,Swiss,22.1267
Kreis 1,2042,female,foreign,22.9665
Kreis 1,2043,male,Swiss,23.5765
Kreis 1,2043,male,foreign,31.433
Kreis 1,2043,female,Swiss,22.0819
Kreis 1,2043,female,foreign,22.9086
Kreis 1,2044,male,Swiss,23.6215
Kreis 1,2044,male,foreign,31.4962
Kreis 1,2044,female,Swiss,22.0288
Kreis 1,2044,female,foreign,22.8535
Kreis 1,2045,male,Swiss,23.6663
Kreis 1,2045,male,foreign,31.559
Kreis 1,2045,female,Swiss,21.976
Kreis 1,2045,female,foreign,22.7987
Kreis 1,2046,male,Swiss,23.7109
Kreis 1,2046,male,foreign,31.6216
Kreis 1,2046,female,Swiss,21.9234
Kreis 1,2046,female,foreign,22.7442
Kreis 1,2047,male,Swiss,23.7552
Kreis 1,2047,male,foreign,31.6839
Kreis 1,2047,female,Swiss,21.871
Kreis 1,2047,female,foreign,22.6899
Kreis 1,2048,male,Swiss,23.7994
Kreis 1,2048,male,foreign,31.7458
Kreis 1,2048,female,Swiss,21.8189
Kreis 1,2048,female,foreign,22.6358
Kreis 1,2049,male,Swiss,23.8443
Kreis 1,2049,male,foreign,31.8046
Kreis 1,2049,female,Swiss,21.768
