district,year,rate
Kreis 1,2021,33.6497
Kreis 1,2022,33.5364
Kreis 1,2023,33.4231
Kreis 1,2024,33.3099
Kreis 1,2025,33.1966
Kreis 1,2026,33.0833
Kreis 1,2027,32.9701
Kreis 1,2028,32.8568
Kreis 1,2029,32.7435
Kreis 1,2030,32.6303
Kreis 1,2031,32.517
Kreis 1,2032,32.4037
Kreis 1,2033,32.2905
Kreis 1,2034,32.1772
Kreis 1,2035,32.0639
Kreis 1,2036,31.9507
Kreis 1,2037,31.8374
Kreis 1,2038,31.7241
Kreis 1,2039,31.6109
Kreis 1,2040,31.4976
Kreis 1,2041,31.3843
Kreis 1,2042,31.2711
Kreis 1,2043,31.1578
Kreis 1,2044,31.0445
Kreis 1,2045,30.9312
Kreis 1,2046,30.818
Kreis 1,2047,30.7047
Kreis 1,2048,30.5914
Kreis 1,2049,30.4782
Kreis 1,2050,30.3649
Wollishofen,2021,13.8922
Wollishofen,2022,13.863
Wollishofen,2023,13.8338
Wollishofen,2024,13.8046
Wollishofen,2025,13.7754
Wollishofen,2026,13.7462
Wollishofen,2027,13.717
Wollishofen,2028,13.6878
Wollishofen,2029,13.6586
Wollishofen,2030,13.6294
Wollishofen,2031,13.6002
Wollishofen,2032,13.571
Wollishofen,2033,13.5418
Wollishofen,2034,13.5126
Wollishofen,2035,13.4834
Wollishofen,2036,13.4542
Wollishofen,2037,13.425
Wollishofen,2038,13.3958
Wollishofen,2039,13.3666
Wollishofen,2040,13.3374
Wollishofen,2041,13.3082
Wollishofen,2042,13.279
Wollishofen,2043,13.2498
Wollishofen,2044,13.2206
Wollishofen,2045,13.1914
Wollishofen,2046,13.1622
Wollishofen,2047,13.133
Wollishofen,2048,13.1038
Wollishofen,2049,13.0746
Wollishofen,2050,13.0454
Leimbach,2021,11.1706
Leimbach,2022,11.2371
Leimbach,2023,11.3036
Leimbach,2024,11.37
Leimbach,2025,11.4365
Leimbach,2026,11.503
Leimbach,2027,11.5694
Leimbach,2028,11.6359
Leimbach,2029,11.7023
Leimbach,2030,11.7688
Leimbach,2031,11.8353
Leimbach,2032,11.9017
Leimbach,2033,11.9682
Leimbach,2034,12.0347
Leimbach,2035,12.1011
Leimbach,2036,12.1676
Leimbach,2037,12.2341
Leimbach,2038,12.3005
Leimbach,2039,12.367
Leimbach,2040,12.4334
Leimbach,2041,12.4999
Leimbach,2042,12.5634
Leimbach,2043,12.6217
Leimbach,2044,12.675
Leimbach,2045,12.7231
Leimbach,2046,12.7661
Leimbach,2047,12.804
Leimbach,2048,12.8368
Leimbach,2049,12.8645
Leimbach,2050,12.8871
Enge,2021,21.3624
Enge,2022,21.3737
Enge,2023,21.3849
Enge,2024,21.3962
Enge,2025,21.4075
Enge,2026,21.4188
Enge,2027,21.4301
Enge,2028,21.4414
Enge,2029,21.4526
Enge,2030,21.4639
Enge,2031,21.4752
Enge,2032,21.4865
Enge,2033,21.4978
Enge,2034,21.509
Enge,2035,21.5203
Enge,2036,21.5316
Enge,2037,21.5429
Enge,2038,21.5542
Enge,2039,21.5655
Enge,2040,21.5767
Enge,2041,21.588
Enge,2042,21.5993
Enge,2043,21.6106
Enge,2044,21.6219
Enge,2045,21.6331
Enge,2046,21.6444
Enge,2047,21.6557
Enge,2048,21.667
Enge,2049,21.6783
Enge,2050,21.6895
Alt-Wiedikon,2021,20.6196
Alt-Wiedikon,2022,20.6206
Alt-Wiedikon,2023,20.6216
Alt-Wiedikon,2024,20.6226
Alt-Wiedikon,2025,20.6236
Alt-Wiedikon,2026,20.6247
Alt-Wiedikon,2027,20.6257
Alt-Wiedikon,2028,20.6267
Alt-Wiedikon,2029,20.6277
Alt-Wiedikon,2030,20.6287
Alt-Wiedikon,2031,20.6297
Alt-Wiedikon,2032,20.6307
Alt-Wiedikon,2033,20.6317
Alt-Wiedikon,2034,20.6328
Alt-Wiedikon,2035,20.6338
Alt-Wiedikon,2036,20.6348
Alt-Wiedikon,2037,20.6358
Alt-Wiedikon,2038,20.6368
Alt-Wiedikon,2039,20.6378
Alt-Wiedikon,2040,20.6388
Alt-Wiedikon,2041,20.6398
Alt-Wiedikon,2042,20.6409
Alt-Wiedikon,2043,20.6419
Alt-Wiedikon,2044,20.6429
Alt-Wiedikon,2045,20.6439
Alt-Wiedikon,2046,20.6449
Alt-Wiedikon,2047,20.6459
Alt-Wiedikon,2048,20.6469
Alt-Wiedikon,2049,20.6479
Alt-Wiedikon,2050,20.649
Friesenberg,2021,10.1414
Friesenberg,2022,10.0373
Friesenberg,2023,9.9332
Friesenberg,2024,9.8291
Friesenberg,2025,9.725
Friesenberg,2026,9.6209
Friesenberg,2027,9.5168
Friesenberg,2028,9.4128
Friesenberg,2029,9.3087
Friesenberg,2030,9.2071
Friesenberg,2031,9.1135
Friesenberg,2032,9.028
Friesenberg,2033,8.9504
Friesenberg,2034,8.8809
Friesenberg,2035,8.8193
Friesenberg,2036,8.7658
Friesenberg,2037,8.7202
Friesenberg,2038,8.6827
Friesenberg,2039,8.6532
Friesenberg,2040,8.6317
Friesenberg,2041,8.6182
Friesenberg,2042,8.6127
Friesenberg,2043,8.6127
Friesenberg,2044,8.6127
Friesenberg,2045,8.6127
Friesenberg,2046,8.6127
Friesenberg,2047,8.6127
Friesenberg,2048,8.6127
Friesenberg,2049,8.6127
Friesenberg,2050,8.6127
Sihlfeld,2021,19.0187
Sihlfeld,2022,18.9881
Sihlfeld,2023,18.9575
Sihlfeld,2024,18.9269
Sihlfeld,2025,18.8964
Sihlfeld,2026,18.8658
Sihlfeld,2027,18.8352
Sihlfeld,2028,18.8046
Sihlfeld,2029,18.774
Sihlfeld,2030,18.7434
Sihlfeld,2031,18.7129
Sihlfeld,2032,18.6823
Sihlfeld,2033,18.6517
Sihlfeld,2034,18.6211
Sihlfeld,2035,18.5905
Sihlfeld,2036,18.5599
Sihlfeld,2037,18.5294
Sihlfeld,2038,18.4988
Sihlfeld,2039,18.4682
Sihlfeld,2040,18.4376
Sihlfeld,2041,18.407
Sihlfeld,2042,18.3764
Sihlfeld,2043,18.3458
Sihlfeld,2044,18.3153
Sihlfeld,2045,18.2847
Sihlfeld,2046,18.2541
Sihlfeld,2047,18.2235
Sihlfeld,2048,18.1929
Sihlfeld,2049,18.1623
Sihlfeld,2050,18.1318
Werd,2021,25.7314
Werd,2022,25.6959
Werd,2023,25.6604
Werd,2024,25.6249
Werd,2025,25.5895
Werd,2026,25.554
Werd,2027,25.5185
Werd,2028,25.483
Werd,2029,25.4475
Werd,2030,25.412
Werd,2031,25.3765
Werd,2032,25.341
Werd,2033,25.3055
Werd,2034,25.27
Werd,2035,25.2345
Werd,2036,25.199
Werd,2037,25.1635
Werd,2038,25.128
Werd,2039,25.0925
Werd,2040,25.0571
Werd,2041,25.0216
Werd,2042,24.9861
