district,year,pop
Kreis 1,2008,5536
Kreis 1,2009,5576
Kreis 1,2010,5563
Kreis 1,2011,5550
Kreis 1,2012,5571
Kreis 1,2013,5565
Kreis 1,2014,5616
Kreis 1,2015,5617
Kreis 1,2016,5648
Kreis 1,2017,5728
Kreis 1,2018,5750
Kreis 1,2019,5791
Kreis 1,2020,5831
Kreis 1,2021,5864.962055219682
Kreis 1,2022,5865.838220373384
Kreis 1,2023,5866.5852028374675
Kreis 1,2024,5867.199406376078
Kreis 1,2025,5867.694874604632
Kreis 1,2026,5868.071516803045
Kreis 1,2027,5868.329244763736
Kreis 1,2028,5868.482038193765
Kreis 1,2029,5869.30492382015
Kreis 1,2030,5873.409266145144
Kreis 1,2031,5877.461036342125
Kreis 1,2032,5881.461838614449
Kreis 1,2033,5885.41026991981
Kreis 1,2034,5889.305562443013
Kreis 1,2035,5893.151236358053
Kreis 1,2036,5896.952509441448
Kreis 1,2037,5900.709661644885
Kreis 1,2038,5904.421863726817
Kreis 1,2039,5908.091598546367
Kreis 1,2040,5911.725241886335
Kreis 1,2041,5915.324182712819
Kreis 1,2042,5918.88590630758
Kreis 1,2043,5922.411228791202
Kreis 1,2044,5925.901568008794
Kreis 1,2045,5929.35802644379
Kreis 1,2046,5932.783306545847
Kreis 1,2047,5936.180364530981
Kreis 1,2048,5939.546684431349
Kreis 1,2049,5942.881293577269
Kreis 1,2050,5946.188761818589
Wollishofen,2008,15794
Wollishofen,2009,15854
Wollishofen,2010,15988
Wollishofen,2011,16055
Wollishofen,2012,16029.000000000002
Wollishofen,2013,15937
Wollishofen,2014,16137
Wollishofen,2015,16244
Wollishofen,2016,16567
Wollishofen,2017,17892
Wollishofen,2018,18923
Wollishofen,2019,19225
Wollishofen,2020,19757
Wollishofen,2021,20295.133360666627
Wollishofen,2022,20975.74628235775
Wollishofen,2023,21913.220657758655
Wollishofen,2024,22015.53485422438
Wollishofen,2025,22674.957959605694
Wollishofen,2026,22701.843425219155
Wollishofen,2027,22702.939020176615
Wollishofen,2028,22702.939020176615
Wollishofen,2029,22702.939020176615
Wollishofen,2030,22702.939020176615
Wollishofen,2031,22702.939020176615
Wollishofen,2032,22771.009271153693
Wollishofen,2033,22852.921398363127
Wollishofen,2034,22932.641392807185
Wollishofen,2035,23010.251293241618
Wollishofen,2036,23085.828161368845
Wollishofen,2037,23159.4435738521
Wollishofen,2038,23231.16897896325
Wollishofen,2039,23301.074756280315
Wollishofen,2040,23369.223625174833
Wollishofen,2041,23435.67563568145
Wollishofen,2042,23500.493390675154
Wollishofen,2043,23563.735751661927
Wollishofen,2044,23625.45769643772
Wollishofen,2045,23685.71583007717
Wollishofen,2046,23744.566108750783
Wollishofen,2047,23802.05707844464
Wollishofen,2048,23858.235754055957
Wollishofen,2049,23913.151853167998
Wollishofen,2050,23966.851474862484
Leimbach,2008,5185
Leimbach,2009,5287
Leimbach,2010,5293
Leimbach,2011,5340
Leimbach,2012,5354
Leimbach,2013,5730
Leimbach,2014,5936
Leimbach,2015,6102
Leimbach,2016,6173
Leimbach,2017,6212
Leimbach,2018,6320
Leimbach,2019,6152
Leimbach,2020,6140
Leimbach,2021,6442.503445327238
