district,year,sex,origin,prop
Kreis 1,2021,male,Swiss,21.9217
Kreis 1,2021,male,foreign,29.9596
Kreis 1,2021,female,Swiss,19.8878
Kreis 1,2021,female,foreign,28.2308
Kreis 1,2022,male,Swiss,22.0345
Kreis 1,2022,male,foreign,30.0928
Kreis 1,2022,female,Swiss,20.0471
Kreis 1,2022,female,foreign,27.8256
Kreis 1,2023,male,Swiss,22.1474
Kreis 1,2023,male,foreign,30.226
Kreis 1,2023,female,Swiss,20.2063
Kreis 1,2023,female,foreign,27.4203
Kreis 1,2024,male,Swiss,22.2602
Kreis 1,2024,male,foreign,30.3593
Kreis 1,2024,female,Swiss,20.3655
Kreis 1,2024,female,foreign,27.015
Kreis 1,2025,male,Swiss,22.367
Kreis 1,2025,male,foreign,30.4842
Kreis 1,2025,female,Swiss,20.5192
Kreis 1,2025,female,foreign,26.6296
Kreis 1,2026,male,Swiss,22.4667
Kreis 1,2026,male,foreign,30.5996
Kreis 1,2026,female,Swiss,20.6664
Kreis 1,2026,female,foreign,26.2673
Kreis 1,2027,male,Swiss,22.5593
Kreis 1,2027,male,foreign,30.7052
Kreis 1,2027,female,Swiss,20.8069
Kreis 1,2027,female,foreign,25.9286
Kreis 1,2028,male,Swiss,22.6447
Kreis 1,2028,male,foreign,30.8011
Kreis 1,2028,female,Swiss,20.9406
Kreis 1,2028,female,foreign,25.6136
Kreis 1,2029,male,Swiss,22.7228
Kreis 1,2029,male,foreign,30.8872
Kreis 1,2029,female,Swiss,21.0675
Kreis 1,2029,female,foreign,25.3225
Kreis 1,2030,male,Swiss,22.7936
Kreis 1,2030,male,foreign,30.9634
Kreis 1,2030,female,Swiss,21.1875
Kreis 1,2030,female,foreign,25.0555
Kreis 1,2031,male,Swiss,22.8571
Kreis 1,2031,male,foreign,31.0298
Kreis 1,2031,female,Swiss,21.3004
Kreis 1,2031,female,foreign,24.8128
Kreis 1,2032,male,Swiss,22.9133
Kreis 1,2032,male,foreign,31.0862
Kreis 1,2032,female,Swiss,21.4062
Kreis 1,2032,female,foreign,24.5943
Kreis 1,2033,male,Swiss,22.9627
Kreis 1,2033,male,foreign,31.1337
Kreis 1,2033,female,Swiss,21.5028
Kreis 1,2033,female,foreign,24.4008
Kreis 1,2034,male,Swiss,23.0076
Kreis 1,2034,male,foreign,31.1751
Kreis 1,2034,female,Swiss,21.5828
Kreis 1,2034,female,foreign,24.2345
Kreis 1,2035,male,Swiss,23.0479
Kreis 1,2035,male,foreign,31.2104
Kreis 1,2035,female,Swiss,21.6463
Kreis 1,2035,female,foreign,24.0953
Kreis 1,2036,male,Swiss,23.0837
Kreis 1,2036,male,foreign,31.2398
Kreis 1,2036,female,Swiss,21.6935
Kreis 1,2036,female,foreign,23.983
Kreis 1,2037,male,Swiss,23.1151
Kreis 1,2037,male,foreign,31.2632
Kreis 1,2037,female,Swiss,21.7244
Kreis 1,2037,female,foreign,23.8973
Kreis 1,2038,male,Swiss,23.148
Kreis 1,2038,male,foreign,31.2889
Kreis 1,2038,female,Swiss,21.7449
Kreis 1,2038,female,foreign,23.8181
Kreis 1,2039,male,Swiss,23.1835
Kreis 1,2039,male,foreign,31.3182
Kreis 1,2039,female,Swiss,21.756
