district,year,rate
Kreis 1,2021,34.4008
Kreis 1,2022,34.3082
Kreis 1,2023,34.2155
Kreis 1,2024,34.1228
Kreis 1,2025,34.0302
Kreis 1,2026,33.9375
Kreis 1,2027,33.8449
Kreis 1,2028,33.7522
Kreis 1,2029,33.6595
Kreis 1,2030,33.5669
Kreis 1,2031,33.4742
Kreis 1,2032,33.3815
Kreis 1,2033,33.2889
Kreis 1,2034,33.1962
Kreis 1,2035,33.1035
Kreis 1,2036,33.0109
Kreis 1,2037,32.9182
Kreis 1,2038,32.8255
Kreis 1,2039,32.7329
Kreis 1,2040,32.6402
Kreis 1,2041,32.5476
Kreis 1,2042,32.4549
Kreis 1,2043,32.3622
Kreis 1,2044,32.2696
Kreis 1,2045,32.1769
Kreis 1,2046,32.0842
Kreis 1,2047,31.9916
Kreis 1,2048,31.8989
Kreis 1,2049,31.8062
Kreis 1,2050,31.7136
Wollishofen,2021,16.3937
Wollishofen,2022,16.4404
Wollishofen,2023,16.4872
Wollishofen,2024,16.534
Wollishofen,2025,16.5807
Wollishofen,2026,16.6275
Wollishofen,2027,16.6743
Wollishofen,2028,16.721
Wollishofen,2029,16.7678
Wollishofen,2030,16.8146
Wollishofen,2031,16.8614
Wollishofen,2032,16.9081
Wollishofen,2033,16.9549
Wollishofen,2034,17.0017
Wollishofen,2035,17.0484
Wollishofen,2036,17.0952
Wollishofen,2037,17.142
Wollishofen,2038,17.1887
Wollishofen,2039,17.2355
Wollishofen,2040,17.2823
Wollishofen,2041,17.329
Wollishofen,2042,17.3758
Wollishofen,2043,17.4226
Wollishofen,2044,17.4694
Wollishofen,2045,17.5161
Wollishofen,2046,17.5629
Wollishofen,2047,17.6097
Wollishofen,2048,17.6564
Wollishofen,2049,17.7032
Wollishofen,2050,17.75
Leimbach,2021,12.1851
Leimbach,2022,12.2032
Leimbach,2023,12.2214
Leimbach,2024,12.2395
Leimbach,2025,12.2576
Leimbach,2026,12.2757
Leimbach,2027,12.2938
Leimbach,2028,12.3119
Leimbach,2029,12.33
Leimbach,2030,12.3482
Leimbach,2031,12.3663
Leimbach,2032,12.3844
Leimbach,2033,12.4025
Leimbach,2034,12.4206
Leimbach,2035,12.4387
Leimbach,2036,12.4569
Leimbach,2037,12.475
Leimbach,2038,12.4931
Leimbach,2039,12.5112
Leimbach,2040,12.5293
