district,year,owner,spa_dyw
Kreis 1,2021,cooperative housing,37.3754
Kreis 1,2021,private housing,54.4198
Kreis 1,2022,cooperative housing,37.2895
Kreis 1,2022,private housing,54.4264
Kreis 1,2023,cooperative housing,37.2036
Kreis 1,2023,private housing,54.4329
Kreis 1,2024,cooperative housing,37.1177
Kreis 1,2024,private housing,54.4395
Kreis 1,2025,cooperative housing,37.0318
Kreis 1,2025,private housing,54.446
Kreis 1,2026,cooperative housing,36.9459
Kreis 1,2026,private housing,54.4526
Kreis 1,2027,cooperative housing,36.86
Kreis 1,2027,private housing,54.4591
Kreis 1,2028,cooperative housing,36.7741
Kreis 1,2028,private housing,54.4657
Kreis 1,2029,cooperative housing,36.6882
Kreis 1,2029,private housing,54.4722
Kreis 1,2030,cooperative housing,36.6023
Kreis 1,2030,private housing,54.4788
Kreis 1,2031,cooperative housing,36.5164
Kreis 1,2031,private housing,54.4853
Kreis 1,2032,cooperative housing,36.4305
Kreis 1,2032,private housing,54.4919
Kreis 1,2033,cooperative housing,36.3446
Kreis 1,2033,private housing,54.4984
Kreis 1,2034,cooperative housing,36.2587
Kreis 1,2034,private housing,54.505
Kreis 1,2035,cooperative housing,36.1729
Kreis 1,2035,private housing,54.5115
Kreis 1,2036,cooperative housing,36.087
Kreis 1,2036,private housing,54.5181
Kreis 1,2037,cooperative housing,36.0011
Kreis 1,2037,private housing,54.5246
Kreis 1,2038,cooperative housing,35.9152
Kreis 1,2038,private housing,54.5312
Kreis 1,2039,cooperative housing,35.8293
Kreis 1,2039,private housing,54.5377
Kreis 1,2040,cooperative housing,35.7434
Kreis 1,2040,private housing,54.5443
Kreis 1,2041,cooperative housing,35.6575
Kreis 1,2041,private housing,54.5508
Kreis 1,2042,cooperative housing,35.5716
Kreis 1,2042,private housing,54.5574
Kreis 1,2043,cooperative housing,35.4857
Kreis 1,2043,private housing,54.5639
Kreis 1,2044,cooperative housing,35.3998
Kreis 1,2044,private housing,54.5705
Kreis 1,2045,cooperative housing,35.3139
Kreis 1,2045,private housing,54.577
Kreis 1,2046,cooperative housing,35.228
Kreis 1,2046,private housing,54.5836
Kreis 1,2047,cooperative housing,35.1421
Kreis 1,2047,private housing,54.5901
Kreis 1,2048,cooperative housing,35.0562
Kreis 1,2048,private housing,54.5967
Kreis 1,2049,cooperative housing,34.9703
Kreis 1,2049,private housing,54.6032
Kreis 1,2050,cooperative housing,34.8844
Kreis 1,2050,private housing,54.6098
Wollishofen,2021,cooperative housing,34.1787
Wollishofen,2021,private housing,47.943
Wollishofen,2022,cooperative housing,34.1459
Wollishofen,2022,private housing,47.8947
Wollishofen,2023,cooperative housing,34.1131
Wollishofen,2023,private housing,47.8464
Wollishofen,2024,cooperative housing,34.0803
Wollishofen,2024,private housing,47.798
Wollishofen,2025,cooperative housing,34.0475
Wollishofen,2025,private housing,47.7497
Wollishofen,2026,cooperative housing,34.0147
Wollishofen,2026,private housing,47.7014
Wollishofen,2027,cooperative housing,33.9819
Wollishofen,2027,private housing,47.653
Wollishofen,2028,cooperative housing,33.9491
Wollishofen,2028,private housing,47.6047
Wollishofen,2029,cooperative housing,33.9163
Wollishofen,2029,private housing,47.5564
Wollishofen,2030,cooperative housing,33.8835
Wollishofen,2030,private housing,47.5081
Wollishofen,2031,cooperative housing,33.8507
Wollishofen,2031,private housing,47.4597
Wollishofen,2032,cooperative housing,33.8179
Wollishofen,2032,private housing,47.4114
Wollishofen,2033,cooperative housing,33.7851
Wollishofen,2033,private housing,47.3631
Wollishofen,2034,cooperative housing,33.7523
Wollishofen,2034,private housing,47.3147
Wollishofen,2035,cooperative housing,33.7195
Wollishofen,2035,private housing,47.2664
Wollishofen,2036,cooperative housing,33.6867
Wollishofen,2036,private housing,47.2181
Wollishofen,2037,cooperative housing,33.6539
Wollishofen,2037,private housing,47.1697
Wollishofen,2038,cooperative housing,33.6211
Wollishofen,2038,private housing,47.1214
Wollishofen,2039,cooperative housing,33.5883
Wollishofen,2039,private housing,47.0731
Wollishofen,2040,cooperative housing,33.5555
Wollishofen,2040,private housing,47.0247
Wollishofen,2041,cooperative housing,33.5227
Wollishofen,2041,private housing,46.9764
Wollishofen,2042,cooperative housing,33.4899
Wollishofen,2042,private housing,46.9281
Wollishofen,2043,cooperative housing,33.4571
Wollishofen,2043,private housing,46.8797
Wollishofen,2044,cooperative housing,33.4243
Wollishofen,2044,private housing,46.8314
Wollishofen,2045,cooperative housing,33.3915
Wollishofen,2045,private housing,46.7831
Wollishofen,2046,cooperative housing,33.3587
Wollishofen,2046,private housing,46.7347
Wollishofen,2047,cooperative housing,33.3259
Wollishofen,2047,private housing,46.6864
Wollishofen,2048,cooperative housing,33.2931
Wollishofen,2048,private housing,46.6381
Wollishofen,2049,cooperative housing,33.2603
Wollishofen,2049,private housing,46.5897
Wollishofen,2050,cooperative housing,33.2276
Wollishofen,2050,private housing,46.5414
Leimbach,2021,cooperative housing,33.3108
Leimbach,2021,private housing,43.4748
Leimbach,2022,cooperative housing,33.2923
Leimbach,2022,private housing,43.4628
Leimbach,2023,cooperative housing,33.2738
Leimbach,2023,private housing,43.4508
Leimbach,2024,cooperative housing,33.2553
Leimbach,2024,private housing,43.4389
Leimbach,2025,cooperative housing,33.2367
Leimbach,2025,private housing,43.4269
Leimbach,2026,cooperative housing,33.2182
Leimbach,2026,private housing,43.4149
Leimbach,2027,cooperative housing,33.1997
Leimbach,2027,private housing,43.4029
Leimbach,2028,cooperative housing,33.1811
Leimbach,2028,private housing,43.3909
Leimbach,2029,cooperative housing,33.1626
Leimbach,2029,private housing,43.3789
Leimbach,2030,cooperative housing,33.1441
Leimbach,2030,private housing,43.367
Leimbach,2031,cooperative housing,33.1256
Leimbach,2031,private housing,43.355
Leimbach,2032,cooperative housing,33.107
Leimbach,2032,private housing,43.343
Leimbach,2033,cooperative housing,33.0885
Leimbach,2033,private housing,43.331
Leimbach,2034,cooperative housing,33.07
Leimbach,2034,private housing,43.319
Leimbach,2035,cooperative housing,33.0515
Leimbach,2035,private housing,43.307
Leimbach,2036,cooperative housing,33.0329
Leimbach,2036,private housing,43.295
Leimbach,2037,cooperative housing,33.0144
Leimbach,2037,private housing,43.2831
Leimbach,2038,cooperative housing,32.9959
Leimbach,2038,private housing,43.2711
Leimbach,2039,cooperative housing,32.9774
Leimbach,2039,private housing,43.2591
Leimbach,2040,cooperative housing,32.9588
Leimbach,2040,private housing,43.2471
Leimbach,2041,cooperative housing,32.9403
Leimbach,2041,private housing,43.2351
Leimbach,2042,cooperative housing,32.9218
Leimbach,2042,private housing,43.2231
Leimbach,2043,cooperative housing,32.9033
Leimbach,2043,private housing,43.2111
Leimbach,2044,cooperative housing,32.8847
Leimbach,2044,private housing,43.1992
Leimbach,2045,cooperative housing,32.8662
Leimbach,2045,private housing,43.1872
Leimbach,2046,cooperative housing,32.8477
Leimbach,2046,private housing,43.1752
Leimbach,2047,cooperative housing,32.8291
Leimbach,2047,private housing,43.1632
Leimbach,2048,cooperative housing,32.8106
Leimbach,2048,private housing,43.1512
Leimbach,2049,cooperative housing,32.7921
Leimbach,2049,private housing,43.1392
Leimbach,2050,cooperative housing,32.7736
Leimbach,2050,private housing,43.1272
Enge,2021,cooperative housing,34.0824
Enge,2021,private housing,52.2637
Enge,2022,cooperative housing,34.0864
Enge,2022,private housing,52.204
Enge,2023,cooperative housing,34.0904
Enge,2023,private housing,52.1443
Enge,2024,cooperative housing,34.0944
Enge,2024,private housing,52.0846
Enge,2025,cooperative housing,34.0984
Enge,2025,private housing,52.0248
Enge,2026,cooperative housing,34.1024
Enge,2026,private housing,51.9651
Enge,2027,cooperative housing,34.1064
Enge,2027,private housing,51.9054
Enge,2028,cooperative housing,34.1105
Enge,2028,private housing,51.8457
Enge,2029,cooperative housing,34.1145
Enge,2029,private housing,51.786
Enge,2030,cooperative housing,34.1185
Enge,2030,private housing,51.7263
Enge,2031,cooperative housing,34.1225
Enge,2031,private housing,51.6666
Enge,2032,cooperative housing,34.1265
Enge,2032,private housing,51.6069
Enge,2033,cooperative housing,34.1305
Enge,2033,private housing,51.5472
Enge,2034,cooperative housing,34.1345
Enge,2034,private housing,51.4875
Enge,2035,cooperative housing,34.1385
Enge,2035,private housing,51.4278
Enge,2036,cooperative housing,34.1425
Enge,2036,private housing,51.3681
Enge,2037,cooperative housing,34.1465
Enge,2037,private housing,51.3084
Enge,2038,cooperative housing,34.1505
Enge,2038,private housing,51.2487
Enge,2039,cooperative housing,34.1545
Enge,2039,private housing,51.189
Enge,2040,cooperative housing,34.1585
Enge,2040,private housing,51.1293
Enge,2041,cooperative housing,34.1625
Enge,2041,private housing,51.0696
Enge,2042,cooperative housing,34.1665
Enge,2042,private housing,51.0098
Enge,2043,cooperative housing,34.1705
Enge,2043,private housing,50.9501
Enge,2044,cooperative housing,34.1745
Enge,2044,private housing,50.8904
Enge,2045,cooperative housing,34.1785
Enge,2045,private housing,50.8307
Enge,2046,cooperative housing,34.1825
Enge,2046,private housing,50.771
Enge,2047,cooperative housing,34.1865
Enge,2047,private housing,50.7113
Enge,2048,cooperative housing,34.1906
Enge,2048,private housing,50.6516
Enge,2049,cooperative housing,34.1946
Enge,2049,private housing,50.5919
Enge,2050,cooperative housing,34.1986
Enge,2050,private housing,50.5322
Alt-Wiedikon,2021,cooperative housing,36.5418
Alt-Wiedikon,2021,private housing,42.4583
Alt-Wiedikon,2022,cooperative housing,36.4971
Alt-Wiedikon,2022,private housing,42.416
Alt-Wiedikon,2023,cooperative housing,36.4524
Alt-Wiedikon,2023,private housing,42.3737
Alt-Wiedikon,2024,cooperative housing,36.4077
Alt-Wiedikon,2024,private housing,42.3315
Alt-Wiedikon,2025,cooperative housing,36.3631
