year,age,sex,mor
2021,0,male,0.4345
2021,0,female,0.4804
2021,1,male,0.0466
2021,1,female,0.0466
2021,2,male,0.0247
2021,2,female,0.0214
2021,3,male,0.0186
2021,3,female,0.0147
2021,4,male,0.0143
2021,4,female,0.0113
2021,5,male,0.0111
2021,5,female,0.0095
2021,6,male,0.0087
2021,6,female,0.0085
2021,7,male,0.0072
2021,7,female,0.0083
2021,8,male,0.0062
2021,8,female,0.0084
2021,9,male,0.0058
2021,9,female,0.0088
2021,10,male,0.0057
2021,10,female,0.0092
2021,11,male,0.006
2021,11,female,0.0097
2021,12,male,0.0063
2021,12,female,0.0099
2021,13,male,0.0073
2021,13,female,0.0101
2021,14,male,0.0094
2021,14,female,0.0107
2021,15,male,0.0136
2021,15,female,0.0119
2021,16,male,0.0205
2021,16,female,0.0146
2021,17,male,0.0311
2021,17,female,0.0188
2021,18,male,0.0449
2021,18,female,0.0238
2021,19,male,0.0586
2021,19,female,0.0289
2021,20,male,0.0666
2021,20,female,0.0314
2021,21,male,0.0679
2021,21,female,0.0316
2021,22,male,0.0643
2021,22,female,0.0301
2021,23,male,0.0593
2021,23,female,0.028
2021,24,male,0.055
2021,24,female,0.0266
2021,25,male,0.0518
2021,25,female,0.0257
2021,26,male,0.0493
2021,26,female,0.0251
2021,27,male,0.0476
2021,27,female,0.025
2021,28,male,0.0468
2021,28,female,0.0252
2021,29,male,0.0465
2021,29,female,0.0259
2021,30,male,0.0469
2021,30,female,0.0267
2021,31,male,0.0478
2021,31,female,0.028
2021,32,male,0.0492
2021,32,female,0.0294
2021,33,male,0.0513
2021,33,female,0.0312
2021,34,male,0.054
2021,34,female,0.0331
2021,35,male,0.0571
2021,35,female,0.0355
2021,36,male,0.061
2021,36,female,0.0382
2021,37,male,0.0657
2021,37,female,0.0414
2021,38,male,0.0713
2021,38,female,0.0451
2021,39,male,0.0779
2021,39,female,0.0494
2021,40,male,0.086
2021,40,female,0.0545
2021,41,male,0.0952
2021,41,female,0.0606
2021,42,male,0.1061
2021,42,female,0.0674
2021,43,male,0.1186
2021,43,female,0.0752
2021,44,male,0.1327
2021,44,female,0.084
2021,45,male,0.1484
