district,year,owner,indicator,apartments
Kreis 1,2021,cooperative housing,new,0
Kreis 1,2021,cooperative housing,removed,0
Kreis 1,2021,private housing,new,0
Kreis 1,2021,private housing,removed,0
Kreis 1,2022,cooperative housing,new,0
Kreis 1,2022,cooperative housing,removed,0
Kreis 1,2022,private housing,new,0
Kreis 1,2022,private housing,removed,0
Kreis 1,2023,cooperative housing,new,0
Kreis 1,2023,cooperative housing,removed,0
Kreis 1,2023,private housing,new,0
Kreis 1,2023,private housing,removed,0
Kreis 1,2024,cooperative housing,new,0
Kreis 1,2024,cooperative housing,removed,0
Kreis 1,2024,private housing,new,0
Kreis 1,2024,private housing,removed,0
Kreis 1,2025,cooperative housing,new,0
Kreis 1,2025,cooperative housing,removed,0
Kreis 1,2025,private housing,new,0
Kreis 1,2025,private housing,removed,0
Kreis 1,2026,cooperative housing,new,0
Kreis 1,2026,cooperative housing,removed,0
Kreis 1,2026,private housing,new,0
Kreis 1,2026,private housing,removed,0
Kreis 1,2027,cooperative housing,new,0
Kreis 1,2027,cooperative housing,removed,0
Kreis 1,2027,private housing,new,0
Kreis 1,2027,private housing,removed,0
Kreis 1,2028,cooperative housing,new,0
Kreis 1,2028,cooperative housing,removed,0
Kreis 1,2028,private housing,new,0
Kreis 1,2028,private housing,removed,0
Kreis 1,2029,cooperative housing,new,0
Kreis 1,2029,cooperative housing,removed,0
Kreis 1,2029,private housing,new,0
Kreis 1,2029,private housing,removed,0
Kreis 1,2030,cooperative housing,new,0
Kreis 1,2030,cooperative housing,removed,0
Kreis 1,2030,private housing,new,0
Kreis 1,2030,private housing,removed,0
Kreis 1,2031,cooperative housing,new,0
Kreis 1,2031,cooperative housing,removed,0
Kreis 1,2031,private housing,new,0
Kreis 1,2031,private housing,removed,0
Kreis 1,2032,cooperative housing,new,0
Kreis 1,2032,cooperative housing,removed,0
Kreis 1,2032,private housing,new,0
Kreis 1,2032,private housing,removed,0
Kreis 1,2033,cooperative housing,new,0
Kreis 1,2033,cooperative housing,removed,0
Kreis 1,2033,private housing,new,0
Kreis 1,2033,private housing,removed,0
Wollishofen,2021,cooperative housing,new,0
Wollishofen,2021,cooperative housing,removed,0
Wollishofen,2021,private housing,new,212.55814436422514
Wollishofen,2021,private housing,removed,0
Wollishofen,2022,cooperative housing,new,283.9675474222398
Wollishofen,2022,cooperative housing,removed,0
Wollishofen,2022,private housing,new,28.14692251582997
Wollishofen,2022,private housing,removed,0
Wollishofen,2023,cooperative housing,new,112.16167301505493
Wollishofen,2023,cooperative housing,removed,80.64140767613634
Wollishofen,2023,private housing,new,507.74275927857377
Wollishofen,2023,private housing,removed,13.768045212998887
Wollishofen,2024,cooperative housing,new,78.78885000515649
Wollishofen,2024,cooperative housing,removed,53.933846425303805
Wollishofen,2024,private housing,new,52.24396945830562
Wollishofen,2024,private housing,removed,25.65025124433905
Wollishofen,2025,cooperative housing,new,18.338095227389914
Wollishofen,2025,cooperative housing,removed,1.3892143136615283
Wollishofen,2025,private housing,new,353.3427107266624
Wollishofen,2025,private housing,removed,0.664529943294541
Wollishofen,2026,cooperative housing,new,0.7167374097950407
Wollishofen,2026,cooperative housing,removed,0.03553158489832078
Wollishofen,2026,private housing,new,14.380518963843484
Wollishofen,2026,private housing,removed,0.01717359936752171
Wollishofen,2027,cooperative housing,new,0.027096920363795025
Wollishofen,2027,cooperative housing,removed,0
Wollishofen,2027,private housing,new,0.5849746925595749
Wollishofen,2027,private housing,removed,0
Wollishofen,2028,cooperative housing,new,0
Wollishofen,2028,cooperative housing,removed,0
Wollishofen,2028,private housing,new,0
Wollishofen,2028,private housing,removed,0
Wollishofen,2029,cooperative housing,new,0
Wollishofen,2029,cooperative housing,removed,0
Wollishofen,2029,private housing,new,0
Wollishofen,2029,private housing,removed,0
Wollishofen,2030,cooperative housing,new,0
Wollishofen,2030,cooperative housing,removed,0
Wollishofen,2030,private housing,new,0
Wollishofen,2030,private housing,removed,0
Wollishofen,2031,cooperative housing,new,0
Wollishofen,2031,cooperative housing,removed,0
Wollishofen,2031,private housing,new,0
Wollishofen,2031,private housing,removed,0
Wollishofen,2032,cooperative housing,new,0
Wollishofen,2032,cooperative housing,removed,0
Wollishofen,2032,private housing,new,0
Wollishofen,2032,private housing,removed,0
Wollishofen,2033,cooperative housing,new,0
Wollishofen,2033,cooperative housing,removed,0
Wollishofen,2033,private housing,new,0
Wollishofen,2033,private housing,removed,0
Leimbach,2021,cooperative housing,new,0
Leimbach,2021,cooperative housing,removed,0
Leimbach,2021,private housing,new,147.99609116948386
Leimbach,2021,private housing,removed,0
Leimbach,2022,cooperative housing,new,41.853056640978195
Leimbach,2022,cooperative housing,removed,0
Leimbach,2022,private housing,new,18.80700115495838
Leimbach,2022,private housing,removed,0
Leimbach,2023,cooperative housing,new,221.7144250125249
Leimbach,2023,cooperative housing,removed,167.2817493379365
Leimbach,2023,private housing,new,21.830418549002612
Leimbach,2023,private housing,removed,0
Leimbach,2024,cooperative housing,new,3.6717451591333425
Leimbach,2024,cooperative housing,removed,2.7723061324166633
Leimbach,2024,private housing,new,6.204702698451361
Leimbach,2024,private housing,removed,2.922077919552555
Leimbach,2025,cooperative housing,new,0.060773187363568335
Leimbach,2025,cooperative housing,removed,0.04594452964685766
Leimbach,2025,private housing,new,3.03574677938432
Leimbach,2025,private housing,removed,0.07594810350864968
Leimbach,2026,cooperative housing,new,0
Leimbach,2026,cooperative housing,removed,0
Leimbach,2026,private housing,new,0.12125783924348943
Leimbach,2026,private housing,removed,0.0019739769387955987
Leimbach,2027,cooperative housing,new,0
Leimbach,2027,cooperative housing,removed,0
Leimbach,2027,private housing,new,0.004781809475963827
Leimbach,2027,private housing,removed,0
Leimbach,2028,cooperative housing,new,0
Leimbach,2028,cooperative housing,removed,0
Leimbach,2028,private housing,new,0
Leimbach,2028,private housing,removed,0
Leimbach,2029,cooperative housing,new,0
Leimbach,2029,cooperative housing,removed,0
Leimbach,2029,private housing,new,0
Leimbach,2029,private housing,removed,0
Leimbach,2030,cooperative housing,new,0
Leimbach,2030,cooperative housing,removed,0
Leimbach,2030,private housing,new,0
Leimbach,2030,private housing,removed,0
Leimbach,2031,cooperative housing,new,0
Leimbach,2031,cooperative housing,removed,0
Leimbach,2031,private housing,new,0
Leimbach,2031,private housing,removed,0
Leimbach,2032,cooperative housing,new,0
Leimbach,2032,cooperative housing,removed,0
Leimbach,2032,private housing,new,0
Leimbach,2032,private housing,removed,0
Leimbach,2033,cooperative housing,new,0
Leimbach,2033,cooperative housing,removed,0
Leimbach,2033,private housing,new,0
Leimbach,2033,private housing,removed,0
Enge,2021,cooperative housing,new,0
Enge,2021,cooperative housing,removed,0
Enge,2021,private housing,new,17.878722423159125
Enge,2021,private housing,removed,0
Enge,2022,cooperative housing,new,0
Enge,2022,cooperative housing,removed,0
Enge,2022,private housing,new,45.63442818870848
Enge,2022,private housing,removed,39.577358525747705
Enge,2023,cooperative housing,new,0
Enge,2023,cooperative housing,removed,0
Enge,2023,private housing,new,173.5657639981486
Enge,2023,private housing,removed,15.169699050441986
Enge,2024,cooperative housing,new,0
Enge,2024,cooperative housing,removed,0
Enge,2024,private housing,new,40.860560206495904
Enge,2024,private housing,removed,2.196942824354434
Enge,2025,cooperative housing,new,0
Enge,2025,cooperative housing,removed,0
Enge,2025,private housing,new,10.627891167143963
Enge,2025,private housing,removed,0.05468361483000434
Enge,2026,cooperative housing,new,0
Enge,2026,cooperative housing,removed,0
Enge,2026,private housing,new,0.4166946514240035
Enge,2026,private housing,removed,0.0013159846258637324
Enge,2027,cooperative housing,new,0
Enge,2027,cooperative housing,removed,0
Enge,2027,private housing,new,0.015939364919879427
Enge,2027,private housing,removed,0
Enge,2028,cooperative housing,new,0
Enge,2028,cooperative housing,removed,0
Enge,2028,private housing,new,0
Enge,2028,private housing,removed,0
Enge,2029,cooperative housing,new,0
Enge,2029,cooperative housing,removed,0
Enge,2029,private housing,new,0
Enge,2029,private housing,removed,0
Enge,2030,cooperative housing,new,0
Enge,2030,cooperative housing,removed,0
Enge,2030,private housing,new,0
Enge,2030,private housing,removed,0
Enge,2031,cooperative housing,new,0
Enge,2031,cooperative housing,removed,0
Enge,2031,private housing,new,0
Enge,2031,private housing,removed,0
Enge,2032,cooperative housing,new,0
Enge,2032,cooperative housing,removed,0
Enge,2032,private housing,new,0
Enge,2032,private housing,removed,0
Enge,2033,cooperative housing,new,0
Enge,2033,cooperative housing,removed,0
Enge,2033,private housing,new,0
Enge,2033,private housing,removed,0
Alt-Wiedikon,2021,cooperative housing,new,0
Alt-Wiedikon,2021,cooperative housing,removed,0
Alt-Wiedikon,2021,private housing,new,6.952836497895214
Alt-Wiedikon,2021,private housing,removed,0
Alt-Wiedikon,2022,cooperative housing,new,88.15856611610302
Alt-Wiedikon,2022,cooperative housing,removed,84.59660384878572
Alt-Wiedikon,2022,private housing,new,72.27552715330569
Alt-Wiedikon,2022,private housing,removed,0
