district,year,owner,usage_ha
Kreis 1,2021,cooperative housing,1.4863
Kreis 1,2021,private housing,0.8939
Kreis 1,2022,cooperative housing,1.428
Kreis 1,2022,private housing,0.8588
Kreis 1,2023,cooperative housing,1.372
Kreis 1,2023,private housing,0.8251
Kreis 1,2024,cooperative housing,1.3182
Kreis 1,2024,private housing,0.7928
Kreis 1,2025,cooperative housing,1.2666
Kreis 1,2025,private housing,0.7617
Kreis 1,2026,cooperative housing,1.2169
Kreis 1,2026,private housing,0.7318
Kreis 1,2027,cooperative housing,1.1692
Kreis 1,2027,private housing,0.7031
Kreis 1,2028,cooperative housing,1.1233
Kreis 1,2028,private housing,0.6756
Kreis 1,2029,cooperative housing,1.0793
Kreis 1,2029,private housing,0.6491
Kreis 1,2030,cooperative housing,1.037
Kreis 1,2030,private housing,0.6236
Kreis 1,2031,cooperative housing,0.9963
Kreis 1,2031,private housing,0.5992
Kreis 1,2032,cooperative housing,0.9572
Kreis 1,2032,private housing,0.5757
Kreis 1,2033,cooperative housing,0.9197
Kreis 1,2033,private housing,0.5531
Kreis 1,2034,cooperative housing,0.8836
Kreis 1,2034,private housing,0.5314
Kreis 1,2035,cooperative housing,0.849
Kreis 1,2035,private housing,0.5106
Kreis 1,2036,cooperative housing,0.8157
Kreis 1,2036,private housing,0.4906
Kreis 1,2037,cooperative housing,0.7837
Kreis 1,2037,private housing,0.4713
Kreis 1,2038,cooperative housing,0.753
Kreis 1,2038,private housing,0.4529
Kreis 1,2039,cooperative housing,0.7235
Kreis 1,2039,private housing,0.4351
Kreis 1,2040,cooperative housing,0.6951
Kreis 1,2040,private housing,0.418
Kreis 1,2041,cooperative housing,0.6678
Kreis 1,2041,private housing,0.4016
Kreis 1,2042,cooperative housing,0.6417
Kreis 1,2042,private housing,0.3859
Kreis 1,2043,cooperative housing,0.6165
Kreis 1,2043,private housing,0.3708
Kreis 1,2044,cooperative housing,0.5923
Kreis 1,2044,private housing,0.3562
Kreis 1,2045,cooperative housing,0.5691
Kreis 1,2045,private housing,0.3423
Kreis 1,2046,cooperative housing,0.5468
Kreis 1,2046,private housing,0.3288
Kreis 1,2047,cooperative housing,0.5253
Kreis 1,2047,private housing,0.3159
Kreis 1,2048,cooperative housing,0.5047
Kreis 1,2048,private housing,0.3036
Kreis 1,2049,cooperative housing,0.485
Kreis 1,2049,private housing,0.2917
Kreis 1,2050,cooperative housing,0.4659
Kreis 1,2050,private housing,0.2802
Wollishofen,2021,cooperative housing,29.145
Wollishofen,2021,private housing,79.3939
Wollishofen,2022,cooperative housing,28.0022
Wollishofen,2022,private housing,76.2808
Wollishofen,2023,cooperative housing,26.9042
Wollishofen,2023,private housing,73.2898
Wollishofen,2024,cooperative housing,25.8493
Wollishofen,2024,private housing,70.4161
Wollishofen,2025,cooperative housing,24.8357
Wollishofen,2025,private housing,67.655
Wollishofen,2026,cooperative housing,23.8619
Wollishofen,2026,private housing,65.0022
Wollishofen,2027,cooperative housing,22.9262
Wollishofen,2027,private housing,62.4534
Wollishofen,2028,cooperative housing,22.0273
Wollishofen,2028,private housing,60.0046
Wollishofen,2029,cooperative housing,21.1636
Wollishofen,2029,private housing,57.6518
Wollishofen,2030,cooperative housing,20.3338
Wollishofen,2030,private housing,55.3912
Wollishofen,2031,cooperative housing,19.5365
Wollishofen,2031,private housing,53.2193
Wollishofen,2032,cooperative housing,18.7704
Wollishofen,2032,private housing,51.1326
Wollishofen,2033,cooperative housing,18.0344
Wollishofen,2033,private housing,49.1276
Wollishofen,2034,cooperative housing,17.3273
Wollishofen,2034,private housing,47.2013
Wollishofen,2035,cooperative housing,16.6479
Wollishofen,2035,private housing,45.3505
Wollishofen,2036,cooperative housing,15.9951
Wollishofen,2036,private housing,43.5723
Wollishofen,2037,cooperative housing,15.3679
Wollishofen,2037,private housing,41.8638
Wollishofen,2038,cooperative housing,14.7653
Wollishofen,2038,private housing,40.2223
Wollishofen,2039,cooperative housing,14.1864
Wollishofen,2039,private housing,38.6452
Wollishofen,2040,cooperative housing,13.6301
Wollishofen,2040,private housing,37.1299
Wollishofen,2041,cooperative housing,13.0957
Wollishofen,2041,private housing,35.674
Wollishofen,2042,cooperative housing,12.5822
Wollishofen,2042,private housing,34.2752
Wollishofen,2043,cooperative housing,12.0888
Wollishofen,2043,private housing,32.9312
Wollishofen,2044,cooperative housing,11.6148
Wollishofen,2044,private housing,31.64
Wollishofen,2045,cooperative housing,11.1594
Wollishofen,2045,private housing,30.3994
Wollishofen,2046,cooperative housing,10.7218
Wollishofen,2046,private housing,29.2074
Wollishofen,2047,cooperative housing,10.3014
Wollishofen,2047,private housing,28.0621
Wollishofen,2048,cooperative housing,9.8975
Wollishofen,2048,private housing,26.9618
Wollishofen,2049,cooperative housing,9.5094
Wollishofen,2049,private housing,25.9046
Wollishofen,2050,cooperative housing,9.1365
Wollishofen,2050,private housing,24.8889
Leimbach,2021,cooperative housing,16.6397
Leimbach,2021,private housing,17.1213
Leimbach,2022,cooperative housing,15.9872
Leimbach,2022,private housing,16.45
Leimbach,2023,cooperative housing,15.3604
Leimbach,2023,private housing,15.805
Leimbach,2024,cooperative housing,14.7581
Leimbach,2024,private housing,15.1852
Leimbach,2025,cooperative housing,14.1794
Leimbach,2025,private housing,14.5898
Leimbach,2026,cooperative housing,13.6234
Leimbach,2026,private housing,14.0177
Leimbach,2027,cooperative housing,13.0892
Leimbach,2027,private housing,13.4681
Leimbach,2028,cooperative housing,12.576
Leimbach,2028,private housing,12.94
Leimbach,2029,cooperative housing,12.0829
Leimbach,2029,private housing,12.4326
Leimbach,2030,cooperative housing,11.6091
Leimbach,2030,private housing,11.9451
Leimbach,2031,cooperative housing,11.1539
Leimbach,2031,private housing,11.4768
Leimbach,2032,cooperative housing,10.7166
Leimbach,2032,private housing,11.0267
Leimbach,2033,cooperative housing,10.2964
Leimbach,2033,private housing,10.5944
Leimbach,2034,cooperative housing,9.8926
Leimbach,2034,private housing,10.179
Leimbach,2035,cooperative housing,9.5047
Leimbach,2035,private housing,9.7798
Leimbach,2036,cooperative housing,9.132
Leimbach,2036,private housing,9.3964
Leimbach,2037,cooperative housing,8.774
Leimbach,2037,private housing,9.0279
Leimbach,2038,cooperative housing,8.4299
Leimbach,2038,private housing,8.6739
Leimbach,2039,cooperative housing,8.0994
Leimbach,2039,private housing,8.3338
Leimbach,2040,cooperative housing,7.7818
Leimbach,2040,private housing,8.0071
Leimbach,2041,cooperative housing,7.4767
Leimbach,2041,private housing,7.6931
Leimbach,2042,cooperative housing,7.1835
Leimbach,2042,private housing,7.3914
Leimbach,2043,cooperative housing,6.9019
Leimbach,2043,private housing,7.1016
Leimbach,2044,cooperative housing,6.6312
Leimbach,2044,private housing,6.8232
Leimbach,2045,cooperative housing,6.3712
Leimbach,2045,private housing,6.5556
Leimbach,2046,cooperative housing,6.1214
Leimbach,2046,private housing,6.2986
Leimbach,2047,cooperative housing,5.8814
Leimbach,2047,private housing,6.0516
Leimbach,2048,cooperative housing,5.6508
Leimbach,2048,private housing,5.8143
Leimbach,2049,cooperative housing,5.4292
Leimbach,2049,private housing,5.5863
Leimbach,2050,cooperative housing,5.2163
Leimbach,2050,private housing,5.3673
Enge,2021,cooperative housing,6.4093
Enge,2021,private housing,37.9787
Enge,2022,cooperative housing,6.158
Enge,2022,private housing,36.4896
Enge,2023,cooperative housing,5.9166
Enge,2023,private housing,35.0588
Enge,2024,cooperative housing,5.6846
Enge,2024,private housing,33.6841
Enge,2025,cooperative housing,5.4617000000000004
Enge,2025,private housing,32.3633
Enge,2026,cooperative housing,5.2475
Enge,2026,private housing,31.0943
Enge,2027,cooperative housing,5.0418
Enge,2027,private housing,29.8751
Enge,2028,cooperative housing,4.8441
Enge,2028,private housing,28.7037
Enge,2029,cooperative housing,4.6541
Enge,2029,private housing,27.5782
Enge,2030,cooperative housing,4.4716
Enge,2030,private housing,26.4969
Enge,2031,cooperative housing,4.2963
Enge,2031,private housing,25.4579
Enge,2032,cooperative housing,4.1278
Enge,2032,private housing,24.4597
Enge,2033,cooperative housing,3.966
Enge,2033,private housing,23.5006
Enge,2034,cooperative housing,3.8105
Enge,2034,private housing,22.5791
Enge,2035,cooperative housing,3.6611
Enge,2035,private housing,21.6938
Enge,2036,cooperative housing,3.5175
Enge,2036,private housing,20.8432
Enge,2037,cooperative housing,3.3796
Enge,2037,private housing,20.0259
Enge,2038,cooperative housing,3.2471
Enge,2038,private housing,19.2407
Enge,2039,cooperative housing,3.1198
Enge,2039,private housing,18.4862
Enge,2040,cooperative housing,2.9974
Enge,2040,private housing,17.7614
Enge,2041,cooperative housing,2.8799
Enge,2041,private housing,17.0649
Enge,2042,cooperative housing,2.767
Enge,2042,private housing,16.3958
Enge,2043,cooperative housing,2.6585
Enge,2043,private housing,15.7529
Enge,2044,cooperative housing,2.5542
Enge,2044,private housing,15.1352
Enge,2045,cooperative housing,2.4541
Enge,2045,private housing,14.5418
Enge,2046,cooperative housing,2.3579
Enge,2046,private housing,13.9716
Enge,2047,cooperative housing,2.2654
Enge,2047,private housing,13.4238
Enge,2048,cooperative housing,2.1766
Enge,2048,private housing,12.8974
Enge,2049,cooperative housing,2.0912
Enge,2049,private housing,12.3917
Enge,2050,cooperative housing,2.0092
Enge,2050,private housing,11.9058
Alt-Wiedikon,2021,cooperative housing,4.3504
Alt-Wiedikon,2021,private housing,48.9794
Alt-Wiedikon,2022,cooperative housing,4.1798
Alt-Wiedikon,2022,private housing,47.0589
Alt-Wiedikon,2023,cooperative housing,4.0159
Alt-Wiedikon,2023,private housing,45.2137
Alt-Wiedikon,2024,cooperative housing,3.8585
Alt-Wiedikon,2024,private housing,43.4408
Alt-Wiedikon,2025,cooperative housing,3.7072
Alt-Wiedikon,2025,private housing,41.7375
Alt-Wiedikon,2026,cooperative housing,3.5618
Alt-Wiedikon,2026,private housing,40.1009
Alt-Wiedikon,2027,cooperative housing,3.4222
Alt-Wiedikon,2027,private housing,38.5286
Alt-Wiedikon,2028,cooperative housing,3.288
Alt-Wiedikon,2028,private housing,37.0178
Alt-Wiedikon,2029,cooperative housing,3.159
Alt-Wiedikon,2029,private housing,35.5663
Alt-Wiedikon,2030,cooperative housing,3.0352
Alt-Wiedikon,2030,private housing,34.1718
Alt-Wiedikon,2031,cooperative housing,2.9162
Alt-Wiedikon,2031,private housing,32.8319
Alt-Wiedikon,2032,cooperative housing,2.8018
Alt-Wiedikon,2032,private housing,31.5445
Alt-Wiedikon,2033,cooperative housing,2.692
Alt-Wiedikon,2033,private housing,30.3076
Alt-Wiedikon,2034,cooperative housing,2.5864
Alt-Wiedikon,2034,private housing,29.1193
Alt-Wiedikon,2035,cooperative housing,2.485
Alt-Wiedikon,2035,private housing,27.9775
Alt-Wiedikon,2036,cooperative housing,2.3876
Alt-Wiedikon,2036,private housing,26.8805
Alt-Wiedikon,2037,cooperative housing,2.2939
Alt-Wiedikon,2037,private housing,25.8265
Alt-Wiedikon,2038,cooperative housing,2.204
Alt-Wiedikon,2038,private housing,24.8138
Alt-Wiedikon,2039,cooperative housing,2.1176
Alt-Wiedikon,2039,private housing,23.8408
Alt-Wiedikon,2040,cooperative housing,2.0345
Alt-Wiedikon,2040,private housing,22.906
Alt-Wiedikon,2041,cooperative housing,1.9548
Alt-Wiedikon,2041,private housing,22.0079
Alt-Wiedikon,2042,cooperative housing,1.8781
Alt-Wiedikon,2042,private housing,21.1449
Alt-Wiedikon,2043,cooperative housing,1.8045
Alt-Wiedikon,2043,private housing,20.3158
Alt-Wiedikon,2044,cooperative housing,1.7337
Alt-Wiedikon,2044,private housing,19.5192
Alt-Wiedikon,2045,cooperative housing,1.6657
Alt-Wiedikon,2045,private housing,18.7539
Alt-Wiedikon,2046,cooperative housing,1.6004
Alt-Wiedikon,2046,private housing,18.0185
Alt-Wiedikon,2047,cooperative housing,1.5377
Alt-Wiedikon,2047,private housing,17.312
Alt-Wiedikon,2048,cooperative housing,1.4774
Alt-Wiedikon,2048,private housing,16.6332
Alt-Wiedikon,2049,cooperative housing,1.4195
Alt-Wiedikon,2049,private housing,15.981
Alt-Wiedikon,2050,cooperative housing,1.3638
Alt-Wiedikon,2050,private housing,15.3544
Friesenberg,2021,cooperative housing,45.1421
Friesenberg,2021,private housing,17.4334
Friesenberg,2022,cooperative housing,43.3721
Friesenberg,2022,private housing,16.7498
Friesenberg,2023,cooperative housing,41.6714
Friesenberg,2023,private housing,16.0931
Friesenberg,2024,cooperative housing,40.0375
Friesenberg,2024,private housing,15.462
Friesenberg,2025,cooperative housing,38.4676
Friesenberg,2025,private housing,14.8558
Friesenberg,2026,cooperative housing,36.9593
Friesenberg,2026,private housing,14.2733
Friesenberg,2027,cooperative housing,35.5101
Friesenberg,2027,private housing,13.7136
Friesenberg,2028,cooperative housing,34.1177
Friesenberg,2028,private housing,13.1759
Friesenberg,2029,cooperative housing,32.7799
Friesenberg,2029,private housing,12.6593
Friesenberg,2030,cooperative housing,31.4946
Friesenberg,2030,private housing,12.1629
Friesenberg,2031,cooperative housing,30.2597
Friesenberg,2031,private housing,11.686
Friesenberg,2032,cooperative housing,29.0732
Friesenberg,2032,private housing,11.2277
Friesenberg,2033,cooperative housing,27.9332
Friesenberg,2033,private housing,10.7875
Friesenberg,2034,cooperative housing,26.8379
Friesenberg,2034,private housing,10.3645
Friesenberg,2035,cooperative housing,25.7856
Friesenberg,2035,private housing,9.9581
Friesenberg,2036,cooperative housing,24.7745
Friesenberg,2036,private housing,9.5677
Friesenberg,2037,cooperative housing,23.8031
Friesenberg,2037,private housing,9.1925
Friesenberg,2038,cooperative housing,22.8698
Friesenberg,2038,private housing,8.8321
Friesenberg,2039,cooperative housing,21.973
Friesenberg,2039,private housing,8.4858
Friesenberg,2040,cooperative housing,21.1115
Friesenberg,2040,private housing,8.153
Friesenberg,2041,cooperative housing,20.2837
Friesenberg,2041,private housing,7.8333
Friesenberg,2042,cooperative housing,19.4883
Friesenberg,2042,private housing,7.5262
Friesenberg,2043,cooperative housing,18.7242
Friesenberg,2043,private housing,7.2311
Friesenberg,2044,cooperative housing,17.99
Friesenberg,2044,private housing,6.9475
Friesenberg,2045,cooperative housing,17.2846
Friesenberg,2045,private housing,6.6751
Friesenberg,2046,cooperative housing,16.6069
Friesenberg,2046,private housing,6.4134
Friesenberg,2047,cooperative housing,15.9557
Friesenberg,2047,private housing,6.1619
Friesenberg,2048,cooperative housing,15.3301
Friesenberg,2048,private housing,5.9203
Friesenberg,2049,cooperative housing,14.729
Friesenberg,2049,private housing,5.6882
Friesenberg,2050,cooperative housing,14.1514
Friesenberg,2050,private housing,5.4651
Sihlfeld,2021,cooperative housing,24.9265
Sihlfeld,2021,private housing,28.9935
Sihlfeld,2022,cooperative housing,23.9491
Sihlfeld,2022,private housing,27.8566
Sihlfeld,2023,cooperative housing,23.01
Sihlfeld,2023,private housing,26.7644
Sihlfeld,2024,cooperative housing,22.1078
Sihlfeld,2024,private housing,25.7149
Sihlfeld,2025,cooperative housing,21.2409
Sihlfeld,2025,private housing,24.7066
Sihlfeld,2026,cooperative housing,20.4081
Sihlfeld,2026,private housing,23.7379
Sihlfeld,2027,cooperative housing,19.6079
Sihlfeld,2027,private housing,22.8071
Sihlfeld,2028,cooperative housing,18.839
Sihlfeld,2028,private housing,21.9128
Sihlfeld,2029,cooperative housing,18.1003
Sihlfeld,2029,private housing,21.0536
Sihlfeld,2030,cooperative housing,17.3906
Sihlfeld,2030,private housing,20.2281
Sihlfeld,2031,cooperative housing,16.7087
Sihlfeld,2031,private housing,19.4349
Sihlfeld,2032,cooperative housing,16.0536
Sihlfeld,2032,private housing,18.6729
Sihlfeld,2033,cooperative housing,15.4241
Sihlfeld,2033,private housing,17.9407
Sihlfeld,2034,cooperative housing,14.8193
Sihlfeld,2034,private housing,17.2372
Sihlfeld,2035,cooperative housing,14.2382
Sihlfeld,2035,private housing,16.5613
Sihlfeld,2036,cooperative housing,13.6799
Sihlfeld,2036,private housing,15.912
Sihlfeld,2037,cooperative housing,13.1435
Sihlfeld,2037,private housing,15.2881
Sihlfeld,2038,cooperative housing,12.6282
Sihlfeld,2038,private housing,14.6886
Sihlfeld,2039,cooperative housing,12.133
Sihlfeld,2039,private housing,14.1126
Sihlfeld,2040,cooperative housing,11.6573
Sihlfeld,2040,private housing,13.5593
Sihlfeld,2041,cooperative housing,11.2002
Sihlfeld,2041,private housing,13.0276
Sihlfeld,2042,cooperative housing,10.761
Sihlfeld,2042,private housing,12.5168
Sihlfeld,2043,cooperative housing,10.3391
Sihlfeld,2043,private housing,12.026
Sihlfeld,2044,cooperative housing,9.9337
Sihlfeld,2044,private housing,11.5545
Sihlfeld,2045,cooperative housing,9.5442
Sihlfeld,2045,private housing,11.1014
Sihlfeld,2046,cooperative housing,9.1699
Sihlfeld,2046,private housing,10.6661
Sihlfeld,2047,cooperative housing,8.8104
Sihlfeld,2047,private housing,10.2479
Sihlfeld,2048,cooperative housing,8.4649
Sihlfeld,2048,private housing,9.8461
Sihlfeld,2049,cooperative housing,8.133
Sihlfeld,2049,private housing,9.46
Sihlfeld,2050,cooperative housing,7.8141
Sihlfeld,2050,private housing,9.0891
Werd,2021,cooperative housing,1.8935
Werd,2021,private housing,11.0126
Werd,2022,cooperative housing,1.8192
Werd,2022,private housing,10.5808
Werd,2023,cooperative housing,1.7479
Werd,2023,private housing,10.1659
Werd,2024,cooperative housing,1.6794
Werd,2024,private housing,9.7673
Werd,2025,cooperative housing,1.6135
Werd,2025,private housing,9.3843
Werd,2026,cooperative housing,1.5502
Werd,2026,private housing,9.0164
Werd,2027,cooperative housing,1.4895
Werd,2027,private housing,8.6628
Werd,2028,cooperative housing,1.4311
Werd,2028,private housing,8.3232
Werd,2029,cooperative housing,1.3749
Werd,2029,private housing,7.9968
Werd,2030,cooperative housing,1.321
Werd,2030,private housing,7.6833
Werd,2031,cooperative housing,1.2692
Werd,2031,private housing,7.382
Werd,2032,cooperative housing,1.2195
Werd,2032,private housing,7.0925
Werd,2033,cooperative housing,1.1716
Werd,2033,private housing,6.8144
Werd,2034,cooperative housing,1.1257
Werd,2034,private housing,6.5472
Werd,2035,cooperative housing,1.0816
Werd,2035,private housing,6.2905
Werd,2036,cooperative housing,1.0392
Werd,2036,private housing,6.0439
