district,year,sex,origin,bir
Kreis 1,2021,male,Swiss,16.397692171722078
Kreis 1,2021,male,foreign,7.742949383957921
Kreis 1,2021,female,Swiss,15.422714899072922
Kreis 1,2021,female,foreign,7.28256754524708
Kreis 1,2022,male,Swiss,16.38893939737899
Kreis 1,2022,male,foreign,7.832927949830098
Kreis 1,2022,female,Swiss,15.41448254894367
Kreis 1,2022,female,foreign,7.367196147488264
Kreis 1,2023,male,Swiss,16.26452190376265
Kreis 1,2023,male,foreign,7.816504634377201
Kreis 1,2023,female,Swiss,15.297462695637048
Kreis 1,2023,female,foreign,7.351749332822211
Kreis 1,2024,male,Swiss,16.174119943090513
Kreis 1,2024,male,foreign,7.8085735370465965
Kreis 1,2024,female,Swiss,15.212435872888907
Kreis 1,2024,female,foreign,7.344289804268698
Kreis 1,2025,male,Swiss,16.132794128533742
Kreis 1,2025,male,foreign,7.807951056665281
Kreis 1,2025,female,Swiss,15.173567216909365
Kreis 1,2025,female,foreign,7.343704335450845
Kreis 1,2026,male,Swiss,16.145923785666643
Kreis 1,2026,male,foreign,7.814819373110753
Kreis 1,2026,female,Swiss,15.185916208252952
Kreis 1,2026,female,foreign,7.350164274158427
Kreis 1,2027,male,Swiss,16.200769540683556
Kreis 1,2027,male,foreign,7.825271074282258
Kreis 1,2027,female,Swiss,15.237500933358898
Kreis 1,2027,female,foreign,7.3599945359837085
Kreis 1,2028,male,Swiss,16.27520736457284
Kreis 1,2028,male,foreign,7.835483974331535
Kreis 1,2028,female,Swiss,15.307512818173493
Kreis 1,2028,female,foreign,7.369600195371826
Kreis 1,2029,male,Swiss,16.340679344824736
Kreis 1,2029,male,foreign,7.841266470670869
Kreis 1,2029,female,Swiss,15.369091952281401
Kreis 1,2029,female,foreign,7.375038874883096
Kreis 1,2030,male,Swiss,16.375684970392193
Kreis 1,2030,male,foreign,7.844546343689824
Kreis 1,2030,female,Swiss,15.402016206337208
Kreis 1,2030,female,foreign,7.378123732553723
Kreis 1,2031,male,Swiss,16.364973061531273
Kreis 1,2031,male,foreign,7.855130531834728
Kreis 1,2031,female,Swiss,15.391941208303543
Kreis 1,2031,female,foreign,7.388078603915348
Kreis 1,2032,male,Swiss,16.28107277901894
Kreis 1,2032,male,foreign,7.867558215669558
Kreis 1,2032,female,Swiss,15.313029485630093
Kreis 1,2032,female,foreign,7.39976736003012
Kreis 1,2033,male,Swiss,16.126383971199118
Kreis 1,2033,male,foreign,7.883799693779777
Kreis 1,2033,female,Swiss,15.167538195996254
Kreis 1,2033,female,foreign,7.415043149074717
Kreis 1,2034,male,Swiss,15.905487126243832
Kreis 1,2034,male,foreign,7.900258591179501
Kreis 1,2034,female,Swiss,14.959775479988865
Kreis 1,2034,female,foreign,7.430523430049059
Kreis 1,2035,male,Swiss,15.637142786488116
Kreis 1,2035,male,foreign,7.91404521874763
Kreis 1,2035,female,Swiss,14.707386411851008
Kreis 1,2035,female,foreign,7.443490329547858
Kreis 1,2036,male,Swiss,15.351179070621605
Kreis 1,2036,male,foreign,7.9232398280915675
Kreis 1,2036,female,Swiss,14.43842558400388
Kreis 1,2036,female,foreign,7.452138243963793
Kreis 1,2037,male,Swiss,15.069526516993475
Kreis 1,2037,male,foreign,7.919113223924552
Kreis 1,2037,female,Swiss,14.173519584445392
Kreis 1,2037,female,foreign,7.448257000255672
Kreis 1,2038,male,Swiss,14.818161661901348
Kreis 1,2038,male,foreign,7.905255694814076
Kreis 1,2038,female,Swiss,13.937100431363708
Kreis 1,2038,female,foreign,7.435223414892662
Kreis 1,2039,male,Swiss,14.623380680157467
Kreis 1,2039,male,foreign,7.886076874618685
Kreis 1,2039,female,Swiss,13.753900776330674
Kreis 1,2039,female,foreign,7.417184932838208
Kreis 1,2040,male,Swiss,14.498532871343507
Kreis 1,2040,male,foreign,7.859702843567432
Kreis 1,2040,female,Swiss,13.636476193593829
Kreis 1,2040,female,foreign,7.3923790542192505
Kreis 1,2041,male,Swiss,14.451229919494034
Kreis 1,2041,male,foreign,7.828366049414249
Kreis 1,2041,female,Swiss,13.59198579015053
Kreis 1,2041,female,foreign,7.36290548946305
Kreis 1,2042,male,Swiss,14.481932399599534
Kreis 1,2042,male,foreign,7.793894472072489
Kreis 1,2042,female,Swiss,13.620862756031018
Kreis 1,2042,female,foreign,7.330483530086344
Kreis 1,2043,male,Swiss,14.588714602577468
Kreis 1,2043,male,foreign,7.760388030942944
Kreis 1,2043,female,Swiss,13.721295881349935
Kreis 1,2043,female,foreign,7.298969321659215
Kreis 1,2044,male,Swiss,14.756191857661861
Kreis 1,2044,male,foreign,7.7261525262647295
Kreis 1,2044,female,Swiss,13.878815240183869
Kreis 1,2044,female,foreign,7.266769398490239
Kreis 1,2045,male,Swiss,14.969234333607625
Kreis 1,2045,male,foreign,7.691858919911339
Kreis 1,2045,female,Swiss,14.079190593830914
Kreis 1,2045,female,foreign,7.234514828267151
Kreis 1,2046,male,Swiss,15.203751344261118
Kreis 1,2046,male,foreign,7.655087467491415
Kreis 1,2046,female,Swiss,14.299763644990453
Kreis 1,2046,female,foreign,7.199929740246332
Kreis 1,2047,male,Swiss,15.43777275189319
Kreis 1,2047,male,foreign,7.614919479721493
Kreis 1,2047,female,Swiss,14.5198705607925
Kreis 1,2047,female,foreign,7.162150068756139
Kreis 1,2048,male,Swiss,15.655905642598459
Kreis 1,2048,male,foreign,7.572844859794193
Kreis 1,2048,female,Swiss,14.725033662296482
Kreis 1,2048,female,foreign,7.1225771300261
Kreis 1,2049,male,Swiss,15.845037942084982
Kreis 1,2049,male,foreign,7.528826138084708
Kreis 1,2049,female,Swiss,14.902920495555673
Kreis 1,2049,female,foreign,7.081175682307879
Kreis 1,2050,male,Swiss,15.997177410892213
Kreis 1,2050,male,foreign,7.484216398283914
Kreis 1,2050,female,Swiss,15.046014025287665
Kreis 1,2050,female,foreign,7.039218357370659
Wollishofen,2021,male,Swiss,91.37804306776046
Wollishofen,2021,male,foreign,51.53974674963953
Wollishofen,2021,female,Swiss,85.94486904075553
Wollishofen,2021,female,foreign,48.47528614184447
Wollishofen,2022,male,Swiss,93.15601699666597
Wollishofen,2022,male,foreign,53.401904645178384
Wollishofen,2022,female,Swiss,87.6171278389041
Wollishofen,2022,female,foreign,50.22672347944009
Wollishofen,2023,male,Swiss,95.69026506271842
Wollishofen,2023,male,foreign,55.740458299860826
Wollishofen,2023,female,Swiss,90.00069407474652
Wollishofen,2023,female,foreign,52.426230941505374
Wollishofen,2024,male,Swiss,99.74564197927617
Wollishofen,2024,male,foreign,59.09922764358802
Wollishofen,2024,female,Swiss,93.81494557656521
Wollishofen,2024,female,foreign,55.58529390338866
Wollishofen,2025,male,Swiss,98.28896105677266
Wollishofen,2025,male,foreign,58.10242050168862
Wollishofen,2025,female,Swiss,92.44487628075093
Wollishofen,2025,female,foreign,54.64775512062106
Wollishofen,2026,male,Swiss,100.10998575424617
Wollishofen,2026,male,foreign,59.704507078612366
Wollishofen,2026,female,Swiss,94.15762612622845
Wollishofen,2026,female,foreign,56.15458451226782
Wollishofen,2027,male,Swiss,97.67937983224252
Wollishofen,2027,male,foreign,57.9427111608021
Wollishofen,2027,female,Swiss,91.87153965902993
Wollishofen,2027,female,foreign,54.49754180978338
Wollishofen,2028,male,Swiss,94.73632284878258
Wollishofen,2028,male,foreign,55.91050737152593
Wollishofen,2028,female,Swiss,89.10347154845135
Wollishofen,2028,female,foreign,52.58616920133351
Wollishofen,2029,male,Swiss,91.43513586775093
Wollishofen,2029,male,foreign,53.79385034411172
Wollishofen,2029,female,Swiss,85.99856720558394
Wollishofen,2029,female,foreign,50.59536479233111
Wollishofen,2030,male,Swiss,87.82221497200517
Wollishofen,2030,male,foreign,51.64448789212907
Wollishofen,2030,female,Swiss,82.60046408567776
Wollishofen,2030,female,foreign,48.573799564459215
Wollishofen,2031,male,Swiss,83.9515266801313
Wollishofen,2031,male,foreign,49.50615164442572
Wollishofen,2031,female,Swiss,78.95991995522404
Wollishofen,2031,female,foreign,46.56260494259927
Wollishofen,2032,male,Swiss,79.88975980311812
Wollishofen,2032,male,foreign,47.419219661689546
Wollishofen,2032,female,Swiss,75.13965842850132
Wollishofen,2032,female,foreign,44.59975818060176
Wollishofen,2033,male,Swiss,76.20314856943378
Wollishofen,2033,male,foreign,45.787864564199744
Wollishofen,2033,female,Swiss,71.67224646556153
Wollishofen,2033,female,foreign,43.06540052195982
Wollishofen,2034,male,Swiss,72.72500241496567
Wollishofen,2034,male,foreign,44.38062450067762
Wollishofen,2034,female,Swiss,68.40090462331284
Wollishofen,2034,female,foreign,41.74183242060939
Wollishofen,2035,male,Swiss,69.52875320333474
Wollishofen,2035,male,foreign,43.15000140711773
Wollishofen,2035,female,Swiss,65.39469863888901
Wollishofen,2035,female,foreign,40.58437996196891
Wollishofen,2036,male,Swiss,66.78080670893601
Wollishofen,2036,male,foreign,42.122327841641706
Wollishofen,2036,female,Swiss,62.810140098748576
Wollishofen,2036,female,foreign,39.617810017633516
Wollishofen,2037,male,Swiss,64.60312523145433
Wollishofen,2037,male,foreign,41.31019715163329
Wollishofen,2037,female,Swiss,60.76193964368022
