"StichtagDatJahr","QuarCd","QuarLang","EigentumCd","EigentumLang","StatusCd","StatusLang","WhgNeu","WhgAbbruch"
2023,"021","Wollishofen","2","andere","4","Bau begonnen",189,0
2023,"021","Wollishofen","2","andere","5","fertiggestellt",268,0
2023,"023","Leimbach","2","andere","5","fertiggestellt",23,0
2023,"024","Enge","2","andere","4","Bau begonnen",15,0
2023,"024","Enge","2","andere","5","fertiggestellt",5,0
2023,"031","Alt-Wiedikon","2","andere","4","Bau begonnen",119,0
2023,"033","Friesenberg","2","andere","4","Bau begonnen",15,0
2023,"034","Sihlfeld","1","staedtisch/genossenschaftlich","4","Bau begonnen",16,0
2023,"034","Sihlfeld","2","andere","4","Bau begonnen",53,0
2023,"041","Werd","1","staedtisch/genossenschaftlich","4","Bau begonnen",24,0
2023,"041","Werd","2","andere","4","Bau begonnen",10,0
2023,"042","Langstrasse","2","andere","4","Bau begonnen",93,0
2023,"042","Langstrasse","2","andere","5","fertiggestellt",12,0
2023,"044","Hard","1","staedtisch/genossenschaftlich","4","Bau begonnen",16,0
2023,"044","Hard","2","andere","5","fertiggestellt",148,0
2023,"051","Gewerbeschule","2","andere","5","fertiggestellt",30,0
2023,"061","Unterstrass","2","andere","4","Bau begonnen",35,0
2023,"061","Unterstrass","2","andere","5","fertiggestellt",35,0
2023,"063","Oberstrass","2","andere","4","Bau begonnen",30,0
2023,"071","Fluntern","2","andere","4","Bau begonnen",30,0
2023,"072","Hottingen","2","andere","4","Bau begonnen",46,0
2023,"073","Hirslanden","2","andere","5","fertiggestellt",50,0
2023,"074","Witikon","2","andere","4","Bau begonnen",99,0
2023,"074","Witikon","2","andere","5","fertiggestellt",141,0
2023,"082","Mühlebach","2","andere","4","Bau begonnen",13,0
2023,"082","Mühlebach","2","andere","5","fertiggestellt",36,0
2023,"083","Weinegg","2","andere","4","Bau begonnen",16,0
2023,"091","Albisrieden","1","staedtisch/genossenschaftlich","4","Bau begonnen",52,0
2023,"091","Albisrieden","2","andere","4","Bau begonnen",385,0
2023,"092","Altstetten","1","staedtisch/genossenschaftlich","4","Bau begonnen",95,0
2023,"092","Altstetten","2","andere","4","Bau begonnen",418,0
2023,"092","Altstetten","2","andere","5","fertiggestellt",34,0
2023,"101","Höngg","2","andere","4","Bau begonnen",40,0
2023,"101","Höngg","2","andere","5","fertiggestellt",7,0
2023,"102","Wipkingen","2","andere","4","Bau begonnen",32,0
2023,"102","Wipkingen","2","andere","5","fertiggestellt",14,0
2023,"111","Affoltern","1","staedtisch/genossenschaftlich","4","Bau begonnen",191,0
2023,"111","Affoltern","2","andere","4","Bau begonnen",43,0
2023,"115","Oerlikon","2","andere","4","Bau begonnen",72,0
2023,"115","Oerlikon","2","andere","5","fertiggestellt",12,0
2023,"119","Seebach","1","staedtisch/genossenschaftlich","4","Bau begonnen",131,0
2023,"119","Seebach","2","andere","4","Bau begonnen",186,0
2023,"122","Schwamendingen-Mitte","2","andere","4","Bau begonnen",85,0
2023,"123","Hirzenbach","1","staedtisch/genossenschaftlich","4","Bau begonnen",198,0
2024,"021","Wollishofen","1","staedtisch/genossenschaftlich","4","Bau begonnen",191,0
2024,"021","Wollishofen","2","andere","4","Bau begonnen",60,0
2024,"024","Enge","2","andere","4","Bau begonnen",11,0
2024,"031","Alt-Wiedikon","2","andere","4","Bau begonnen",338,0
2024,"033","Friesenberg","2","andere","4","Bau begonnen",70,0
2024,"034","Sihlfeld","2","andere","4","Bau begonnen",52,0
2024,"061","Unterstrass","1","staedtisch/genossenschaftlich","4","Bau begonnen",118,0
2024,"061","Unterstrass","2","andere","4","Bau begonnen",103,0
2024,"063","Oberstrass","2","andere","4","Bau begonnen",24,0
2024,"071","Fluntern","2","andere","4","Bau begonnen",18,0
2024,"072","Hottingen","2","andere","4","Bau begonnen",1,0
2024,"073","Hirslanden","2","andere","4","Bau begonnen",8,0
2024,"074","Witikon","2","andere","0","projektiert, Infoplan",181,101
2024,"074","Witikon","2","andere","4","Bau begonnen",130,0
2024,"083","Weinegg","2","andere","4","Bau begonnen",47,0
2024,"091","Albisrieden","2","andere","4","Bau begonnen",100,0
2024,"092","Altstetten","2","andere","2","eingereicht",25,7
2024,"092","Altstetten","2","andere","4","Bau begonnen",111,0
2024,"101","Höngg","2","andere","0","projektiert, Infoplan",150,2
2024,"101","Höngg","2","andere","4","Bau begonnen",65,0
2024,"102","Wipkingen","1","staedtisch/genossenschaftlich","4","Bau begonnen",9,0
2024,"102","Wipkingen","2","andere","4","Bau begonnen",41,0
2024,"111","Affoltern","2","andere","4","Bau begonnen",49,0
2024,"115","Oerlikon","2","andere","4","Bau begonnen",75,0
2024,"119","Seebach","1","staedtisch/genossenschaftlich","3","bewilligt",130,57
2024,"119","Seebach","1","staedtisch/genossenschaftlich","4","Bau begonnen",508,0
2024,"119","Seebach","2","andere","4","Bau begonnen",370,0
2024,"121","Saatlen","1","staedtisch/genossenschaftlich","1","projektiert, andere",225,73
2024,"122","Schwamendingen-Mitte","2","andere","4","Bau begonnen",7,0
2024,"123","Hirzenbach","2","andere","4","Bau begonnen",33,0
2025,"021","Wollishofen","1","staedtisch/genossenschaftlich","0","projektiert, Infoplan",60,
2025,"021","Wollishofen","1","staedtisch/genossenschaftlich","3","bewilligt",57,22
2025,"021","Wollishofen","2","andere","1","projektiert, andere",132,0
2025,"021","Wollishofen","2","andere","3","bewilligt",12,5
2025,"021","Wollishofen","2","andere","4","Bau begonnen",104,0
2025,"023","Leimbach","1","staedtisch/genossenschaftlich","0","projektiert, Infoplan",200,102
2025,"023","Leimbach","2","andere","3","bewilligt",9,4
2025,"024","Enge","2","andere","3","bewilligt",76,31
2025,"031","Alt-Wiedikon","2","andere","3","bewilligt",60,1
2025,"033","Friesenberg","1","staedtisch/genossenschaftlich","1","projektiert, andere",147,97
2025,"033","Friesenberg","1","staedtisch/genossenschaftlich","3","bewilligt",17,12
2025,"033","Friesenberg","2","andere","3","bewilligt",11,0
2025,"034","Sihlfeld","1","staedtisch/genossenschaftlich","1","projektiert, andere",100,257
2025,"034","Sihlfeld","2","andere","3","bewilligt",11,0
2025,"041","Werd","2","andere","3","bewilligt",88,6
2025,"042","Langstrasse","2","andere","3","bewilligt",10,0
2025,"044","Hard","1","staedtisch/genossenschaftlich","3","bewilligt",122,72
2025,"061","Unterstrass","1","staedtisch/genossenschaftlich","1","projektiert, andere",184,249
2025,"061","Unterstrass","1","staedtisch/genossenschaftlich","4","Bau begonnen",85,0
2025,"061","Unterstrass","2","andere","3","bewilligt",52,30
2025,"073","Hirslanden","2","andere","3","bewilligt",48,10
2025,"074","Witikon","2","andere","3","bewilligt",21,1
2025,"082","Mühlebach","2","andere","3","bewilligt",7,0
2025,"083","Weinegg","1","staedtisch/genossenschaftlich","1","projektiert, andere",73,0
2025,"083","Weinegg","2","andere","3","bewilligt",2,0
2025,"091","Albisrieden","1","staedtisch/genossenschaftlich","1","projektiert, andere",134,147
2025,"091","Albisrieden","1","staedtisch/genossenschaftlich","3","bewilligt",460,210
2025,"091","Albisrieden","2","andere","1","projektiert, andere",93,6
2025,"091","Albisrieden","2","andere","3","bewilligt",12,3
2025,"091","Albisrieden","2","andere","4","Bau begonnen",70,0
2025,"092","Altstetten","1","staedtisch/genossenschaftlich","1","projektiert, andere",134,0
2025,"092","Altstetten","1","staedtisch/genossenschaftlich","3","bewilligt",32,15
2025,"092","Altstetten","1","staedtisch/genossenschaftlich","4","Bau begonnen",201,0
2025,"092","Altstetten","2","andere","1","projektiert, andere",70,0
2025,"092","Altstetten","2","andere","3","bewilligt",114,46
2025,"101","Höngg","2","andere","3","bewilligt",15,0
2025,"102","Wipkingen","2","andere","3","bewilligt",63,53
2025,"111","Affoltern","1","staedtisch/genossenschaftlich","1","projektiert, andere",100,24
2025,"111","Affoltern","1","staedtisch/genossenschaftlich","3","bewilligt",127,38
2025,"111","Affoltern","2","andere","3","bewilligt",18,0
2025,"115","Oerlikon","1","staedtisch/genossenschaftlich","1","projektiert, andere",30,121
2025,"115","Oerlikon","2","andere","1","projektiert, andere",210,100
2025,"115","Oerlikon","2","andere","3","bewilligt",310,38
2025,"119","Seebach","1","staedtisch/genossenschaftlich","3","bewilligt",18,0
2025,"119","Seebach","1","staedtisch/genossenschaftlich","4","Bau begonnen",89,0
2025,"119","Seebach","2","andere","3","bewilligt",100,30
2025,"119","Seebach","2","andere","4","Bau begonnen",96,0
2025,"121","Saatlen","1","staedtisch/genossenschaftlich","1","projektiert, andere",54,52
2025,"121","Saatlen","2","andere","1","projektiert, andere",41,24
2025,"121","Saatlen","2","andere","3","bewilligt",41,24
2025,"122","Schwamendingen-Mitte","1","staedtisch/genossenschaftlich","1","projektiert, andere",210,138
2025,"122","Schwamendingen-Mitte","1","staedtisch/genossenschaftlich","4","Bau begonnen",266,0
2025,"122","Schwamendingen-Mitte","2","andere","1","projektiert, andere",30,1
2025,"123","Hirzenbach","1","staedtisch/genossenschaftlich","3","bewilligt",84,0
2025,"123","Hirzenbach","2","andere","1","projektiert, andere",600,66
2025,"123","Hirzenbach","2","andere","3","bewilligt",27,5
2026,"021","Wollishofen","1","staedtisch/genossenschaftlich","3","bewilligt",51,0
2026,"021","Wollishofen","2","andere","2","eingereicht",78,0
2026,"021","Wollishofen","2","andere","3","bewilligt",21,0
2026,"033","Friesenberg","2","andere","3","bewilligt",53,0
