PublJahr,ArealCd,WohnanteilCd,QuarCd,QuarLang,EigentumGrundstkCd,Kapazitaet,Bestand,Reserve,Inanspruchnahme
2016,1,1,010,Kreis 1,1,94875,94017,858,427
2016,1,1,010,Kreis 1,2,254794,256350,-1556,-68
2016,1,1,021,Wollishofen,1,376567,238204,138363,64819
2016,1,1,021,Wollishofen,2,711818,565459,146360,82439
2016,1,1,023,Leimbach,1,182758,124010,58749,22649
2016,1,1,023,Leimbach,2,174851,116934,57917,22455
2016,1,1,024,Enge,1,57617,35973,21645,7990
2016,1,1,024,Enge,2,650814,497779,153035,55841
2016,1,1,031,Alt-Wiedikon,1,109047,69368,39679,11045
2016,1,1,031,Alt-Wiedikon,2,905662,729177,176485,37026
2016,1,1,033,Friesenberg,1,393080,265780,127299,47171
2016,1,1,033,Friesenberg,2,149813,121595,28218,14217
2016,1,1,034,Sihlfeld,1,373086,271028,102058,42548
2016,1,1,034,Sihlfeld,2,844968,638619,206349,52614
2016,1,1,041,Werd,1,46568,35026,11541,716
2016,1,1,041,Werd,2,230777,171236,59540,8507
2016,1,1,042,Langstrasse,1,100076,77868,22208,1436
2016,1,1,042,Langstrasse,2,564387,395602,168785,56674
2016,1,1,044,Hard,1,392784,244782,148002,47586
2016,1,1,044,Hard,2,418162,293071,125091,27647
2016,1,1,051,Gewerbeschule,1,227351,128816,98534,8653
2016,1,1,051,Gewerbeschule,2,354621,313545,41075,7107
2016,1,1,052,Escher Wyss,1,55004,18944,36059,19778
2016,1,1,052,Escher Wyss,2,392941,293641,99300,46515
2016,1,1,061,Unterstrass,1,489231,309464,179766,92989
2016,1,1,061,Unterstrass,2,903377,694153,209223,86217
2016,1,1,063,Oberstrass,1,119158,91298,27860,10092
2016,1,1,063,Oberstrass,2,502797,492379,10418,11367
2016,1,1,071,Fluntern,1,55096,29552,25544,13815
2016,1,1,071,Fluntern,2,620860,528469,92391,54741
2016,1,1,072,Hottingen,1,63082,30186,32897,9951
2016,1,1,072,Hottingen,2,807394,630643,176751,50914
2016,1,1,073,Hirslanden,1,57428,48005,9423,2917
2016,1,1,073,Hirslanden,2,452105,359824,92281,27947
2016,1,1,074,Witikon,1,57485,39369,18116,5158
2016,1,1,074,Witikon,2,694012,561558,132454,95184
2016,1,1,081,Seefeld,1,23826,8783,15043,9644
2016,1,1,081,Seefeld,2,371414,301362,70052,11880
2016,1,1,082,Mühlebach,1,52346,31379,20966,3399
2016,1,1,082,Mühlebach,2,466327,304867,161460,21834
2016,1,1,083,Weinegg,1,60836,32702,28134,11534
2016,1,1,083,Weinegg,2,316876,236750,80126,36195
2016,1,1,091,Albisrieden,1,502704,334793,167911,81080
2016,1,1,091,Albisrieden,2,756010,558022,197988,122103
2016,1,1,092,Altstetten,1,575391,386488,188903,98152
2016,1,1,092,Altstetten,2,1212583,979186,233397,125398
2016,1,1,101,Höngg,1,333565,214313,119252,76493
2016,1,1,101,Höngg,2,974106,944462,29644,49372
2016,1,1,102,Wipkingen,1,284854,174850,110004,50240
2016,1,1,102,Wipkingen,2,609114,534650,74465,22147
2016,1,1,111,Affoltern,1,580549,377725,202824,93426
2016,1,1,111,Affoltern,2,887815,751017,136798,102394
2016,1,1,115,Oerlikon,1,265154,140275,124879,34881
2016,1,1,115,Oerlikon,2,1160035,889990,270045,97285
