QuarCd;QuarLang;distr
011;Rathaus;Kreis 1
012;Hochschulen;Kreis 1
013;Lindenhof;Kreis 1
014;City;Kreis 1
021;Wollishofen;Wollishofen
023;Leimbach;Leimbach
024;Enge;Enge
031;Alt-Wiedikon;Alt-Wiedikon
033;Friesenberg;Friesenberg
034;Sihlfeld;Sihlfeld
041;Werd;Werd
042;Langstrasse;Langstrasse
044;Hard;Hard
051;Gewerbeschule;Gewerbeschule
052;Escher Wyss;Escher Wyss
061;Unterstrass;Unterstrass
063;Oberstrass;Oberstrass
071;Fluntern;Fluntern
072;Hottingen;Hottingen
073;Hirslanden;Hirslanden
074;Witikon;Witikon
081;Seefeld;Seefeld
082;Mühlebach;Muehlebach
083;Weinegg;Weinegg
091;Albisrieden;Albisrieden
092;Altstetten;Altstetten
101;Höngg;Hoengg
102;Wipkingen;Wipkingen
111;Affoltern;Affoltern
115;Oerlikon;Oerlikon
119;Seebach;Seebach
121;Saatlen;Saatlen
122;Schwamendingen-Mitte;Schwamendingen-Mitte
123;Hirzenbach;Hirzenbach
